portfolio_code,portfolio_name,portfolio_base_currency,ticker,sedol,instrument_type,instrument_id,name,txn_id,txn_type,txn_trade_date,txn_settle_date,txn_units,txn_price,txn_consideration,currency,strategy,cash_transactions
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0002162385,SEDOL1,equity,EQ_1234,Aviva,trd_0001,Buy,02/01/2020,04/01/2020,124626,4.012,499999.51,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0002162385,SEDOL1,equity,EQ_1234,Aviva,trd_0002,Buy,02/01/2020,04/01/2020,12462,4.012,49997.54,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0000566504,SEDOL2,equity,EQ_1235,BHP,trd_0003,Buy,02/01/2020,04/01/2020,57777,17.308,1000004.32,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0000566504,SEDOL2,equity,EQ_1235,BHP,trd_0004,Buy,02/01/2020,04/01/2020,57777,17.308,1000004.32,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0031348658,SEDOL3,equity,EQ_1236,Barclays,trd_0005,Buy,02/01/2020,04/01/2020,143119,1.7468,250000.27,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0031348658,SEDOL3,equity,EQ_1236,Barclays,trd_0006,Buy,02/01/2020,04/01/2020,143119,1.7468,250000.27,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0007980591,SEDOL4,equity,EQ_1237,BP,trd_0007,Buy,02/01/2020,04/01/2020,101585,4.922,500001.37,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0007980591,SEDOL4,equity,EQ_1237,BP,trd_0008,Buy,02/01/2020,04/01/2020,101585,4.922,500001.37,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0005405286,SEDOL5,equity,EQ_1238,HSBC,trd_0009,Buy,02/01/2020,04/01/2020,21349,5.855,124998.4,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0005405286,SEDOL5,equity,EQ_1238,HSBC,trd_0010,Buy,02/01/2020,04/01/2020,21349,5.855,124998.4,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0006043169,SEDOL6,equity,EQ_1239,Morrisons,trd_0011,Buy,15/01/2020,17/01/2020,186474,2.011,374999.21,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0006043169,SEDOL6,equity,EQ_1239,Morrisons,trd_0012,Buy,15/01/2020,17/01/2020,186474,2.011,374999.21,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0008847096,SEDOL7,equity,EQ_1240,Tesco,trd_0013,Buy,15/01/2020,17/01/2020,106838,2.34,250000.92,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB0008847096,SEDOL7,equity,EQ_1240,Tesco,trd_0014,Buy,15/01/2020,17/01/2020,106838,2.34,250000.92,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB00BGDT3G23,SEDOL8,equity,EQ_1241,Rightmove,trd_0015,Buy,15/01/2020,17/01/2020,79542,6.286,500001.01,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB00BGDT3G23,SEDOL8,equity,EQ_1241,Rightmove,trd_0016,Buy,15/01/2020,17/01/2020,79542,6.286,500001.01,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB00BH4HKS39,SEDOL9,equity,EQ_1242,vodafone,trd_0017,Buy,15/01/2020,17/01/2020,467990,1.6026,750000.77,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB00BH4HKS39,SEDOL9,equity,EQ_1242,vodafone,trd_0018,Buy,15/01/2020,17/01/2020,467990,1.6026,750000.77,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB00B1XZS820,SEDOL10,equity,EQ_1243,Anglo American plc,trd_0019,Buy,15/01/2020,17/01/2020,36452,20.575,749999.9,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GB00B1XZS820,SEDOL10,equity,EQ_1243,Anglo American plc,trd_0020,Buy,15/01/2020,17/01/2020,36452,20.575,749999.9,GBP,ftse_tracker,
EQUITY_UK,LUSID's top 10 FTSE stock portfolio,GBP,GBP,GBP,cash,GBP,GBP Cash,trd_0021,FundsIn,02/01/2020,04/01/2020,12000000,1,12000000,GBP,ftse_tracker,GBP
