Provider	InstrumentID	InstrumentType	QuoteType	Field	EffectiveAt	Value	Unit
TraderMade	USD/JPY	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	111.196	USD
TraderMade	USD/JPY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	111.24736	USD
TraderMade	USD/JPY	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	110.778	USD
TraderMade	USD/JPY	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	110.778	USD
TraderMade	USD/JPY	CurrencyPair	Price	close	2020-03-20T00:00:00.0000000+00:00	110.778	USD
TraderMade	USD/JPY	CurrencyPair	Price	close	2020-03-19T00:00:00.0000000+00:00	110.7135	USD
TraderMade	EUR/DKK	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	7.46616	EUR
TraderMade	EUR/DKK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	7.46876	EUR
TraderMade	EUR/DKK	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	7.4691	EUR
TraderMade	EUR/DKK	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	7.4691	EUR
TraderMade	EUR/DKK	CurrencyPair	Price	close	2020-03-20T00:00:00.0000000+00:00	7.4691	EUR
TraderMade	EUR/DKK	CurrencyPair	Price	close	2020-03-19T00:00:00.0000000+00:00	7.47335	EUR
TraderMade	AUD/CHF	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	0.5849	AUD
TraderMade	AUD/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.57385	AUD
TraderMade	AUD/CHF	CurrencyPair	Price	close	2020-03-22T00:00:00.0000000+00:00	0.57258	AUD
TraderMade	AUD/CHF	CurrencyPair	Price	close	2020-03-21T00:00:00.0000000+00:00	0.57258	AUD
TraderMade	AUD/CHF	CurrencyPair	Price	close	2020-03-20T00:00:00.0000000+00:00	0.57258	AUD
TraderMade	AUD/CHF	CurrencyPair	Price	close	2020-03-19T00:00:00.0000000+00:00	0.56634	AUD
TraderMade	EUR/SEK	CurrencyPair	Price	close	2020-03-24T00:00:00.0000000+00:00	10.93615	EUR
