EffectiveAt	Provider	InstrumentID	InstrumentType	QuoteType	Field	Value	Unit	Lineage	CutLabel	UploadedBy	AsAt
2020-03-24	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.08974	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
2020-03-23	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.07618	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
2020-03-22	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.08855	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.712630+00:00
2020-03-21	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.08855	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.712630+00:00
2020-03-20	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.08855	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
2020-03-19	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.07401	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
2020-03-18	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.06505	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
2020-03-17	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.09593	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
2020-03-16	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.0976	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
2020-03-15	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.10603	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.712630+00:00
2020-03-14	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.10603	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.712630+00:00
2020-03-13	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.10603	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
2020-03-12	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.12344	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.176976+00:00
2020-03-11	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.13732	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.176976+00:00
2020-03-10	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.14485	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.176976+00:00
2020-03-09	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.14676	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.176976+00:00
2020-03-08	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1562	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.712630+00:00
2020-03-07	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1562	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.712630+00:00
2020-03-06	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1562	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.176976+00:00
2020-03-05	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.15312	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.176976+00:00
2020-03-04	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.15571	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.176976+00:00
2020-03-03	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.14685	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.531860+00:00
2020-03-02	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.14548	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.531860+00:00
2020-03-01	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.16271	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.712630+00:00
2020-02-29	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.16271	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.843877+00:00
2020-02-28	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.16271	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.531860+00:00
2020-02-27	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17129	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.531860+00:00
2020-02-26	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18566	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.531860+00:00
2020-02-25	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.19524	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.531860+00:00
2020-02-24	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.19105	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:48.531860+00:00
2020-02-23	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.195	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.843877+00:00
2020-02-22	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.195	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.843877+00:00
2020-02-21	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.195	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.375867+00:00
2020-02-20	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1945	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.375867+00:00
2020-02-19	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.19583	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.375867+00:00
2020-02-18	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.20446	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.375867+00:00
2020-02-17	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.20021	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.375867+00:00
2020-02-16	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.20463	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.843877+00:00
2020-02-15	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.20463	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.843877+00:00
2020-02-14	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.20463	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.375867+00:00
2020-02-13	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.20309	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.375867+00:00
2020-02-12	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.19186	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.684497+00:00
2020-02-11	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1866	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.684497+00:00
2020-02-10	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18362	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.684497+00:00
2020-02-09	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1775	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:55.843877+00:00
2020-02-08	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1775	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.400709+00:00
2020-02-07	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.1775	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.684497+00:00
2020-02-06	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.17727	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.684497+00:00
2020-02-05	TraderMade	GBP/EUR	CurrencyPair	Price	close	1.18209	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:56.684497+00:00
