	Provider	InstrumentID	InstrumentType	QuoteType	Field	EffectiveAt	Value	Unit	Lineage	CutLabel	UploadedBy	AsAt
0	TraderMade	USD/JPY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	111.24736	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
1	TraderMade	EUR/DKK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	7.46876	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
2	TraderMade	AUD/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.57385	AUD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
3	TraderMade	EUR/SEK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	11.1004	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
4	TraderMade	EUR/TRY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	7.0387	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
5	TraderMade	EUR/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.07248	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
6	TraderMade	GBP/CAD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.67374	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
7	TraderMade	EUR/JPY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	119.33	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
8	TraderMade	USD/SGD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.46019	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
9	TraderMade	USD/TRY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	6.56085	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
