DisplayName,DeiIdNumber,Figi,TotalDeiScore,BoardDeiScore,ExecutiveDeiScore,GenderDeiScore,PctDistributionOfCaucasianExecutives
3M COMPANY,1345634,US88579Y1010,56.79,56.57,37.85,56.56,0.8462
"A, O, SMITH CORPORATION",648856,US8318652091,50.67,49.16,34.13,41.45,0.8667
"ABBVIE INC,",1547048,US00287Y1091,58.04,41.6,51.53,64.18,0.9
"Abiomed, Inc,",1522592,US0036541003,47.16,47.34,27.52,33.81,0.9091
Accenture PLC,1741869,IE00B4BNMY34,60.66,57.76,40.75,67.46,0.8696
"ACTIVISION BLIZZARD, INC,",212472,US00507V1098,39.95,27.53,43.25,28.75,1
"ADOBE INC,",1547051,US00724F1012,55.08,53.07,41.03,50.85,0.5556
"Advance Auto Parts, Inc,",1586721,US00751Y1064,51.06,39.38,49.22,44.5,0.6923
"ADVANCED MICRO DEVICES, INC,",1337077,US0079031078,46.57,46.71,37.58,32.18,0.7368
AFLAC INCORPORATED,948306,US0010551028,52.4,51.1,40.25,54.54,0.5
"AGILENT TECHNOLOGIES, INC,",1337081,US00846U1016,55.61,50.23,49.56,55.45,0.75
"AIR PRODUCTS AND CHEMICALS, INC,",131473,US0091581068,39.64,44.41,29.51,31.88,0.5556
"AKAMAI TECHNOLOGIES, INC,",1090242,US00971T1016,48.09,54.32,37.53,45.44,0.8
Albemarle Corporation,1550655,US0126531013,48.6,60.79,38.89,51.52,0.875
"ALEXANDRIA REAL ESTATE EQUITIES, INC,",1344383,US0152711091,44.92,44.46,28.53,44.47,0.9286
"ALIGN TECHNOLOGY, INC,",1157705,US0162551016,46.9,35.59,48.07,35.38,0.7692
Allegion PLC,1741881,IE00BFRT3W74,47.1,32.49,41.87,29,1
ALLIANT ENERGY CORPORATION,441472,US0188021085,47.35,44,43.7,56.17,0.8462
"Altria Group, Inc,",1345148,US02209S1033,51.53,44.69,47.65,42.82,0.75
"AMAZON,COM, INC,",1339916,US0231351067,55.11,56.61,30.78,55.65,1
AMEREN CORPORATION,1345565,US0236081024,44.36,54.73,21.6,29.63,1
"AMERICAN ELECTRIC POWER COMPANY, INC,",887565,US0255371017,48.28,53.22,44.6,46.55,0.8696
"AMERICAN INTERNATIONAL GROUP, INC,",1090137,US0268747849,52.57,44.92,45.57,53.65,0.8182
AMERICAN TOWER CORPORATION,861741,US03027X1000,46.92,48.42,22.39,31.59,0.8333
"AMERICAN WATER WORKS COMPANY, INC,",1625450,US0304201033,57.47,58.72,55.71,72.57,1
AMERISOURCEBERGEN CORPORATION,1572233,US03073E1055,52.68,46.5,55.71,67.14,1
"AMETEK, INC,",109962,US0311001004,47.75,50.74,10.5,22.5,1
"AMGEN INC,",318964,US0311621009,49.16,35.9,47.12,50.82,0.8846
AMPHENOL CORPORATION,1133795,US0320951017,46.87,45.6,38.97,40.78,0.8095
"ANALOG DEVICES, INC,",1549930,US0326541051,41.21,43.03,31.7,37.84,0.8462
"ANSYS, INC,",1381907,US03662Q1058,49.16,36.53,64.08,54.78,0.7273
AON PLC,1430816,IE00BLP1HW54,55,38,68.98,49.27,1
"APPLE INC,",1553750,US0378331005,53.22,50.83,40.22,56.77,0.8889
"APPLIED MATERIALS, INC,",113262,US0382221051,48.47,49.16,40.24,37.78,0.8
Aptiv PLC,1741891,JE00B783TY65,51.72,38.8,46.9,38.83,0.9286
"Arista Networks, Inc",1390150,US0404131064,43.19,52.05,46.95,43.15,0.7143
"ARTHUR J, GALLAGHER & CO,",645600,US3635761097,40.71,40.7,11,36.55,0.9
"ASSURANT, INC,",1550181,US04621X1081,44.15,43.74,30.43,36.12,1
