Name,Type,SimpleInstMap,FullInstMap,SDMMapping
balanceSheetDate,date,,,balanceSheetDate
contractReference,string,clientInternal,clientInternal,tradeReference
contractDescription,string,,,tradeDescription
contractGroup,string,,,tradeGroup
accountReference,string,,,accountReference
productType,string,product,product,productType
book,string,,,portfolio
signatureDate,date,,,confirmationDate
originDate,date,transactionDate,transactionDate,tradeDate
maturityDate,date,maturityDate,maturityDate,maturityDate
currency,string,transactionCurrency,transactionCurrency,currency
principal,number,notional,notional,notional
basis,string,,dayCountConvention,basis
fixedRate,number,,fixedRate,fixedRate
interestRateType,string,,,interestRateType
rateCap,number,,,interestRateCap
rateFloor,number,,,interestRateFloor
rollConvention,string,,,rollConvention
businessRollDayConvention,string,,rollConvention,businessRollDayConvention
sourceSystem,string,,,sourceSystem
