Name,Type,SimpleInstMap,FullInstMap,SDMMapping
dealReference,string,clientInternal,clientInternal,tradeReference
description,string,,,tradeDescription
dealGroup,string,,,tradeGroup
account,string,,,accountReference
product,string,product,product,productType
portfolio,string,,,portfolio
desk,string,,,portfolioGroup
partyReference,string,,,counterparty
tradeDate,date,transactionDate,transactionDate,tradeDate
maturityDate,date,maturityDate,maturityDate,maturityDate
expiryDate,date,,,expiryDate
ccy,string,transactionCurrency,transactionCurrency,currency
notional,number,notional,notional,notional
domCcy,string,domCcy,domCcy,currency
domNotional,number,domNotional,domNotional,notional
fgnCcy,string,,fgnCcy,quoteCurrency
fgnNotional,number,,fgnNotional,quoteNotional
interestRate,number,,fixedRate,fixedRate
forwardRate,number,,forwardRate,fxRate
dayBasis,string,,dayCountConvention,basis
ratesRollConvention,string,,rollConvention,businessRollDayConvention
sourceSystem,string,,,sourceSystem
