instrument_id,instrument_name,date,price,currency
EQ_GB001,vodafone,29/03/2020,114.6,GBP
EQ_GB001,vodafone,30/03/2020,114.5,GBP
EQ_GB001,vodafone,31/03/2020,118.54,GBP
EQ_GB001,vodafone,01/04/2020,117.64,GBP
EQ_GB002,Anglo American plc,29/03/2020,1816.4,GBP
EQ_GB002,Anglo American plc,30/03/2020,1852.2,GBP
EQ_GB002,Anglo American plc,31/03/2020,1833.2,GBP
EQ_GB002,Anglo American plc,01/04/2020,1910.6,GBP
EQ_US001,IBM Ltd,29/03/2020,147.35,USD
EQ_US001,IBM Ltd,30/03/2020,142.3,USD
EQ_US001,IBM Ltd,31/03/2020,139,USD
EQ_US001,IBM Ltd,01/04/2020,145.2,USD
