instrument_name,currency,figi,price_original,price_current,ticker,isin,sedol
AVEVA GRP,GBP,BBG000C21Y87,27.84,30.31776,AVV,GB00BBG9VN75,BBG9VN7
BAE SYS.,GBP,BBG000BD5TW4,5.154,4.782912,BA.,GB0002634946,263494
BATM ADVANCED,GBP,BBG000BFJD77,0.459,0.424575,BVC,IL0010849045,911146
BTG,GBP,BBG000BZZK79,8.275,8.9701,BTG,GB0001001592,100159
COBHAM,GBP,BBG000BS6810,1.0715,1.022211,COB,GB00B07KD360,B07KD36
COMPUTACENTER,GBP,BBG000BN7CL9,10.68,11.45964,CCC,GB00BV9FP302,BV9FP30
CONSORT MED.,GBP,BBG000BD8278,8.7,9.309,CSRT,GB0000946276,94627
DIALIGHT,GBP,BBG000BLQNG4,3.92,3.55152,DIA,GB0033057794,3305779
GENUS,GBP,BBG000CTMKX7,22.46,20.59582,GNS,GB0002074580,207458
GRESHAM TECH,GBP,BBG000BS2592,0.945,1.000755,GHT,GB0008808825,880882
KCOM GRP,GBP,BBG000BYWT85,0.696,0.732888,KCOM,GB0007448250,744825
MEGGITT,GBP,BBG000BDT1M0,5.044,4.796844,MGGT,GB0005758098,575809
MICRO FOCUS,GBP,BBG000G4KJC6,14.795,13.81853,MCRO,GB00BD8YWM01,BD8YWM0
MICROGEN,GBP,BBG000BDSS88,3.87,3.60297,MCGN,GB00BVVHWX30,BVVHWX3
NCC GRP,GBP,BBG000BS8WF0,1.806,1.809612,NCC,GB00B01QGK86,B01QGK8
OXFORD BIOMED.,GBP,BBG000BMB7T9,6.839,6.285041,OXB,GB00BDFBVT43,BDFBVT4
OXFORD INSTRMNT,GBP,BBG000BDWZZ7,8.67,9.48498,OXIG,GB0006650450,665045
PADDY PWR BET,GBP,BBG000N8GHT0,61.5,62.5455,PPB,IE00BWT6H894,BWXC0Z1
QINETIQ,GBP,BBG000HF3Y54,3.006,3.294576,QQ.,GB00B0WMWD03,B0WMWD0
RENISHAW,GBP,BBG000BDZTQ8,41.28,38.5968,RSW,GB0007323586,732358
RICARDO,GBP,BBG000BDYQS3,6.06,5.55096,RCDO,GB0007370074,737007
SAGE GRP.,GBP,BBG000BN0PP3,6.194,6.56564,SGE,GB00B8C3BL03,B8C3BL0
SDL,GBP,BBG000C4HGK1,5.52,5.6028,SDL,GB0009376368,937636
SMITH&NEPHEW,GBP,BBG000BF21F2,14.355,14.570325,SN.,GB0009223206,922320
SPECTRIS,GBP,BBG000CNV8Z5,23.82,26.0829,SXS,GB0003308607,330860
SPIRENT,GBP,BBG000C4LV50,1.396,1.51466,SPT,GB0004726096,472609
TRIAD GRP.,GBP,BBG000BL9R74,0.345,0.35121,TRD,GB0009035741,903574
ULTRA ELEC.,GBP,BBG000HHH4C3,13.27,13.36289,ULE,GB0009123323,912332
VECTURA,GBP,BBG000PRWXX8,0.751,0.702185,VEC,GB00B01D1K48,B01D1K4
XAAR,GBP,BBG000BVKQF2,1.548,1.678032,XAR,GB0001570810,157081
XP POWER,GBP,BBG000BZMBQ2,20.8,19.5104,XPP,SG9999003735,B1RMWL0
