portfolio_group_name,portfolio_name,instrument_name,quantity,price
client-A-portfolios,client-A-strategy-balanced,WPP_LondonStockEx_WPP,2690400,8.71
client-A-portfolios,client-A-strategy-balanced,UKGiltTreasury_2.0_2025,375856,8.71
client-A-portfolios,client-A-strategy-balanced,JustEat_LondonStockEx_JE,4026354,5.464
client-A-portfolios,client-A-strategy-balanced,UKGiltTreasury_3.75_2021,486913,108.126
client-A-portfolios,client-A-strategy-balanced,GBP_Cash,5366496,1
client-A-portfolios,client-A-strategy-tech,MicroFocus_LondonStockEx_MCRO,703068,14.5082
client-A-portfolios,client-A-strategy-tech,Sage_LondonStockEx_SGE,2599653,5.77
client-A-portfolios,client-A-strategy-tech,GBP_Cash,583716.2842,1
client-A-portfolios,client-A-strategy-growth,BurfordCapital_LondonStockEx_BUR,853486,14.06
client-A-portfolios,client-A-strategy-growth,EKFDiagnostics_LondonStockEx_EKF,925925,0.27
client-A-portfolios,client-A-strategy-growth,GBP_Cash,150000,1
client-B-portfolios,client-B-strategy-balanced,Kingfisher_LondonStockEx_KGF,1037038,2.276
client-B-portfolios,client-B-strategy-balanced,JustEat_LondonStockEx_JE,834553,5.464
client-B-portfolios,client-B-strategy-balanced,RELXGroup_LondonStockEx_REL,494343,15.98
client-B-portfolios,client-B-strategy-balanced,UKGiltTreasury_4.5_2034,77481,140.572
client-B-portfolios,client-B-strategy-balanced,GBP_Cash,1714125,1
client-B-portfolios,client-B-strategy-energy,Glencore_LondonStockEx_GLEN,905141,2.762
client-B-portfolios,client-B-strategy-energy,BP_LondonStockEx_BP,1713922,5.114
client-B-portfolios,client-B-strategy-energy,GBP_Cash,2200000,1
client-B-portfolios,client-B-strategy-fixedincome,UKGiltTreasury_3.5_2045,266169,134.433
client-B-portfolios,client-B-strategy-fixedincome,UKGiltTreasury_2.0_2025,405589,106.637
client-B-portfolios,client-B-strategy-fixedincome,UKGiltTreasury_3.75_2021,198800,108.247
client-B-portfolios,client-B-strategy-fixedincome,USTreasury_2.00_2021,300507,97.9
client-B-portfolios,client-B-strategy-fixedincome,USD_Cash,6774600,1
client-B-portfolios,client-B-strategy-fixedincome,GBP_Cash,830976,1
client-B-portfolios,client-B-strategy-international,USTreasury_2.00_2021,357507,97.9
client-B-portfolios,client-B-strategy-international,Apple_Nasdaq_AAPL,504481,168.49
client-B-portfolios,client-B-strategy-international,Amazon_Nasdaq_AMZN,38671,1629.13
client-B-portfolios,client-B-strategy-international,USD_Cash,1400000,1
client-B-portfolios,client-B-strategy-usgovt,USTreasury_2.00_2021,286006,97.9
client-B-portfolios,client-B-strategy-usgovt,USTreasury_6.875_2025,256986,124.52
client-B-portfolios,client-B-strategy-usgovt,USD_Cash,23000000,1
client-C-portfolios,client-C-strategy-balanced,Whitebread_LondonStockEx_WTB,285318,45.03
client-C-portfolios,client-C-strategy-balanced,TESCO_LondonStockEx_TSCO,2206441,1.9715
client-C-portfolios,client-C-strategy-balanced,Kingfisher_LondonStockEx_KGF,3312829,2.276
client-C-portfolios,client-C-strategy-balanced,UKGiltTreasury_3.75_2021,128969,108.126
client-C-portfolios,client-C-strategy-balanced,GBP_Cash,17292100,1
client-C-portfolios,client-C-strategy-fixedincome,UKGiltTreasury_3.5_2045,286388,134.433
client-C-portfolios,client-C-strategy-fixedincome,UKGiltTreasury_2.0_2025,581411,106.637
client-C-portfolios,client-C-strategy-fixedincome,USTreasury_2.00_2021,796731,97.9
client-C-portfolios,client-C-strategy-fixedincome,USTreasury_6.875_2025,277063,124.52
client-C-portfolios,client-C-strategy-fixedincome,GBP_Cash,1256000,1
client-C-portfolios,client-C-strategy-fixedincome,USD_Cash,1570000,1
