figi,isin,client_internal,name,currency,date,time,price,source,type
BBG001KKJLR4,GB00B4RMG977,imd_34643653,UKGiltTreasury_3.75_2021,GBP,11/09/2019,LSEClose,106.51,bloomberg,mid_price
BBG001KKJLR4,GB00B4RMG977,imd_34643653,UKGiltTreasury_3.75_2021,GBP,10/09/2019,LSEClose,106.59,bloomberg,mid_price
BBG001KKJLR4,GB00B4RMG977,imd_34643653,UKGiltTreasury_3.75_2021,GBP,11/09/2019,LSEClose,106.52,reuters,mid_price
BBG001KKJLR4,GB00B4RMG977,imd_34643653,UKGiltTreasury_3.75_2021,GBP,10/09/2019,LSEClose,106.59,reuters,mid_price
BBG0000D14P3,GB00B52WS153,imd_34534534,UKGiltTreasury_4.5_2034,GBP,11/09/2019,LSEClose,151.44,bloomberg,mid_price
BBG0000D14P3,GB00B52WS153,imd_34534534,UKGiltTreasury_4.5_2034,GBP,10/09/2019,LSEClose,152.28,bloomberg,mid_price
BBG0000D14P3,GB00B52WS153,imd_34534534,UKGiltTreasury_4.5_2034,GBP,11/09/2019,LSEClose,151.22,reuters,mid_price
BBG0000D14P3,GB00B52WS153,imd_34534534,UKGiltTreasury_4.5_2034,GBP,10/09/2019,LSEClose,152.29,reuters,mid_price
BBG006N6HZM7,GB00BN65R313,imd_54234532,UKGiltTreasury_3.5_2045,GBP,11/09/2019,LSEClose,152.44,bloomberg,mid_price
BBG006N6HZM7,GB00BN65R313,imd_54234532,UKGiltTreasury_3.5_2045,GBP,10/09/2019,LSEClose,153.16,bloomberg,mid_price
BBG006N6HZM7,GB00BN65R313,imd_54234532,UKGiltTreasury_3.5_2045,GBP,11/09/2019,LSEClose,152.89,reuters,mid_price
BBG006N6HZM7,GB00BN65R313,imd_54234532,UKGiltTreasury_3.5_2045,GBP,10/09/2019,LSEClose,153.17,reuters,mid_price
NaN,US881575AC87,imd_54001121,TESCO_6.15_2037,USD,11/09/2019,NYSEClose,97,bloomberg,mid_price
NaN,US881575AC87,imd_54001121,TESCO_6.15_2037,USD,10/09/2019,NYSEClose,96.9,bloomberg,mid_price
NaN,US881575AC87,imd_54001121,TESCO_6.15_2037,USD,11/09/2019,NYSEClose,99,reuters,mid_price
NaN,US881575AC87,imd_54001121,TESCO_6.15_2037,USD,10/09/2019,NYSEClose,98.88,reuters,mid_price
BBG000DQQNJ8,US912810EV62,imd_34534539,USTreasury_6.875_2025,USD,11/09/2019,NYSEClose,129.55,bloomberg,mid_price
BBG000DQQNJ8,US912810EV62,imd_34534539,USTreasury_6.875_2025,USD,10/09/2019,NYSEClose,129.22,bloomberg,mid_price
BBG000DQQNJ8,US912810EV62,imd_34534539,USTreasury_6.875_2025,USD,11/09/2019,NYSEClose,129.56,reuters,mid_price
BBG000DQQNJ8,US912810EV62,imd_34534539,USTreasury_6.875_2025,USD,10/09/2019,NYSEClose,129.21,reuters,mid_price
BBG00FN3B5K8,US912828U816,imd_34535347,USTreasury_2.00_2021,USD,11/09/2019,NYSEClose,100.77,bloomberg,mid_price
BBG00FN3B5K8,US912828U816,imd_34535347,USTreasury_2.00_2021,USD,10/09/2019,NYSEClose,100.79,bloomberg,mid_price
BBG00FN3B5K8,US912828U816,imd_34535347,USTreasury_2.00_2021,USD,11/09/2019,NYSEClose,100.78,reuters,mid_price
BBG00FN3B5K8,US912828U816,imd_34535347,USTreasury_2.00_2021,USD,10/09/2019,NYSEClose,100.79,reuters,mid_price
NaN,XS0414345974,imd_34001121,TESCO_6.13_2022,GBP,11/09/2019,LSEClose,110,bloomberg,mid_price
NaN,XS0414345974,imd_34001121,TESCO_6.13_2022,GBP,10/09/2019,LSEClose,110.2,bloomberg,mid_price
NaN,XS0414345974,imd_34001121,TESCO_6.13_2022,GBP,11/09/2019,LSEClose,112.2,reuters,mid_price
NaN,XS0414345974,imd_34001121,TESCO_6.13_2022,GBP,10/09/2019,LSEClose,113.5,reuters,mid_price
NaN,NaN,NaN,GBP to EUR Spot Rate,GBPEUR,11/09/2019,LSEClose,1.12,bloomberg,mid_rate
NaN,NaN,NaN,GBP to EUR Spot Rate,GBPEUR,10/09/2019,LSEClose,1.2,bloomberg,mid_rate
NaN,NaN,NaN,GBP to EUR Spot Rate,GBPEUR,11/09/2019,LSEClose,1.12,reuters,mid_rate
NaN,NaN,NaN,GBP to EUR Spot Rate,GBPEUR,10/09/2019,LSEClose,1.2,reuters,mid_rate
NaN,NaN,NaN,USD to EUR Spot Rate,USDEUR,11/09/2019,LSEClose,0.91,bloomberg,mid_rate
NaN,NaN,NaN,USD to EUR Spot Rate,USDEUR,10/09/2019,LSEClose,0.91,bloomberg,mid_rate
NaN,NaN,NaN,USD to EUR Spot Rate,USDEUR,11/09/2019,LSEClose,0.91,reuters,mid_rate
NaN,NaN,NaN,USD to EUR Spot Rate,USDEUR,10/09/2019,LSEClose,0.91,reuters,mid_rate
NaN,NaN,NaN,GBP to EUR Spot Rate,GBPEUR,11/09/2019,NYSEClose,1.12,bloomberg,mid_rate
NaN,NaN,NaN,GBP to EUR Spot Rate,GBPEUR,10/09/2019,NYSEClose,1.2,bloomberg,mid_rate
NaN,NaN,NaN,GBP to EUR Spot Rate,GBPEUR,11/09/2019,NYSEClose,1.12,reuters,mid_rate
NaN,NaN,NaN,GBP to EUR Spot Rate,GBPEUR,10/09/2019,NYSEClose,1.2,reuters,mid_rate
NaN,NaN,NaN,USD to EUR Spot Rate,USDEUR,11/09/2019,NYSEClose,0.91,bloomberg,mid_rate
NaN,NaN,NaN,USD to EUR Spot Rate,USDEUR,10/09/2019,NYSEClose,0.91,bloomberg,mid_rate
NaN,NaN,NaN,USD to EUR Spot Rate,USDEUR,11/09/2019,NYSEClose,0.91,reuters,mid_rate
NaN,NaN,NaN,USD to EUR Spot Rate,USDEUR,10/09/2019,NYSEClose,0.91,reuters,mid_rate
