InstrumentName,ClientInternal,Currency,QuotePermId,ExchangeCode,CountryIssue,Ticker,MarketSector,SecurityType,Coupon
Amazon_Nasdaq_AMZN,imd_34634534,USD,1-8590928320,UN,united_states_america,AMZN,equity,common_stock,
Apple_Nasdaq_AAPL,imd_35345345,USD,1-8590932301,UN,united_states_america,AAPL,equity,common_stock,
VANGUARD LIFESTRATEGY GROWTH,imd_89881022,USD,1-5036190193,US,united_states_america,VASGX,equity,fund_of_funds,
Salesforce.com Inc,imd_44953022,USD,1-8590926819,US,united_states_america,CRM,equity,common_stock,
Norwegian Cruise Line Holdings Ltd,imd_44569345,USD,1-21475872704,US,united_states_america,NCLH,equity,common_stock,
CAMPBELL SOUP CO,imd_44645943,USD,1-8590938673,US,united_states_america,CPB,equity,common_stock,
Under Armour Inc,imd_44678322,USD,1-8590940860,US,united_states_america,UA,equity,common_stock,
Halliburton Co,imd_44588822,USD,1-8590930194,US,united_states_america,HAL,equity,common_stock,
MSCI Inc,imd_44999201,USD,1-8590932969,US,united_states_america,MSCI,equity,common_stock,
Brown-Forman Corp,imd_45992929,USD,1-8590941544,US,united_states_america,BF/A,equity,common_stock,
Blackrock Equity Dividend Fund,imd_49302011,USD,1-4297570798,US,united_states_america,MDDVX,equity,open_end_fund,
T. Rowe Price Instl Small-Cap Stock Fund,imd_44904222,USD,1-4295989835,US,united_states_america,TRSSX,equity,open_end_fund,
