instrument_name,client_internal,currency
Amazon_Nasdaq_AMZN,US0231351067,USD
Apple_Nasdaq_AAPL,US0378331005,USD
BP_LondonStockEx_BP,GB0007980591,GBP
BurfordCapital_LondonStockEx_BUR,GG00B4L84979,GBP
EKFDiagnostics_LondonStockEx_EKF,GB0031509804,GBP
Glencore_LondonStockEx_GLEN,JE00B4T3BW64,GBP
JustEat_LondonStockEx_JE,GB00BKX5CN86,GBP
Kingfisher_LondonStockEx_KGF,GB0033195214,GBP
MicroFocus_LondonStockEx_MCRO,GB00BD8YWM01,GBP
RELXGroup_LondonStockEx_REL,GB00B2B0DG97,GBP
Sage_LondonStockEx_SGE,GB00B8C3BL03,GBP
TESCO_LondonStockEx_TSCO,GB0008847096,GBP
UKGiltTreasury_2.0_2025,GB00BTHH2R79,GBP
UKGiltTreasury_3.5_2045,GB00BN65R313,GBP
UKGiltTreasury_3.75_2021,GB00B4RMG977,GBP
UKGiltTreasury_4.5_2034,GB00B52WS153,GBP
USTreasury_2.00_2021,US912828U816,USD
USTreasury_6.875_2025,US912810EV62,USD
WPP_LondonStockEx_WPP,JE00B8KF9B49,GBP
Whitebread_LondonStockEx_WTB,GB00B1KJJ408,GBP
