figi,isin,client_internal,name,currency,date,time,price,source,type,,,,,,,,,
BBG001KKJLR4,GB00B4RMG977,imd_34643653,UKGiltTreasury_3.75_2021,GBP,2019-09-11,LSEClose,106.5100,bloomberg,mid_price,,,,,,,,,
BBG001KKJLR4,GB00B4RMG977,imd_34643653,UKGiltTreasury_3.75_2021,GBP,2019-09-10,LSEClose,106.5900,bloomberg,mid_price,,,,,,,,,
BBG001KKJLR4,GB00B4RMG977,imd_34643653,UKGiltTreasury_3.75_2021,GBP,2019-09-11,LSEClose,106.5210,reuters,mid_price,,,,,,,,,
BBG001KKJLR4,GB00B4RMG977,imd_34643653,UKGiltTreasury_3.75_2021,GBP,2019-09-10,LSEClose,106.5890,reuters,mid_price,,,,,,,,,
BBG0000D14P3,GB00B52WS153,imd_34534534,UKGiltTreasury_4.5_2034,GBP,2019-09-11,LSEClose,151.4350,bloomberg,mid_price,,,,,,,,,
BBG0000D14P3,GB00B52WS153,imd_34534534,UKGiltTreasury_4.5_2034,GBP,2019-09-10,LSEClose,152.2770,bloomberg,mid_price,,,,,,,,,
BBG0000D14P3,GB00B52WS153,imd_34534534,UKGiltTreasury_4.5_2034,GBP,2019-09-11,LSEClose,151.2200,reuters,mid_price,,,,,,,,,
BBG0000D14P3,GB00B52WS153,imd_34534534,UKGiltTreasury_4.5_2034,GBP,2019-09-10,LSEClose,152.2900,reuters,mid_price,,,,,,,,,
BBG006N6HZM7,GB00BN65R313,imd_54234532,UKGiltTreasury_3.5_2045,GBP,2019-09-11,LSEClose,152.4450,bloomberg,mid_price,,,,,,,,,
BBG006N6HZM7,GB00BN65R313,imd_54234532,UKGiltTreasury_3.5_2045,GBP,2019-09-10,LSEClose,153.1650,bloomberg,mid_price,,,,,,,,,
BBG006N6HZM7,GB00BN65R313,imd_54234532,UKGiltTreasury_3.5_2045,GBP,2019-09-11,LSEClose,152.8890,reuters,mid_price,,,,,,,,,
BBG006N6HZM7,GB00BN65R313,imd_54234532,UKGiltTreasury_3.5_2045,GBP,2019-09-10,LSEClose,153.1700,reuters,mid_price,,,,,,,,,
,US881575AC87,imd_54001121,TESCO_6.15_2037,USD,2019-09-11,NYSEClose,97.0000,bloomberg,mid_price,,,,,,,,,
,US881575AC87,imd_54001121,TESCO_6.15_2037,USD,2019-09-10,NYSEClose,96.9000,bloomberg,mid_price,,,,,,,,,
,US881575AC87,imd_54001121,TESCO_6.15_2037,USD,2019-09-11,NYSEClose,99.0000,reuters,mid_price,,,,,,,,,
,US881575AC87,imd_54001121,TESCO_6.15_2037,USD,2019-09-10,NYSEClose,98.8800,reuters,mid_price,,,,,,,,,
BBG000DQQNJ8,US912810EV62,imd_34534539,USTreasury_6.875_2025,USD,2019-09-11,NYSEClose,129.5500,bloomberg,mid_price,,,,,,,,,
