portfolio_group_name,portfolio_name,instrument_name,quantity,price
high_street_pension_fund-portfolios,mandate-balanced,Kingfisher_LondonStockEx_KGF,1362038,2.276
high_street_pension_fund-portfolios,mandate-balanced,JustEat_LondonStockEx_JE,834553,5.464
high_street_pension_fund-portfolios,mandate-balanced,RELXGroup_LondonStockEx_REL,494343,15.98
high_street_pension_fund-portfolios,mandate-balanced,UKGiltTreasury_4.5_2034,77481,140.572
high_street_pension_fund-portfolios,mandate-balanced,GBP_Cash,952000,1
high_street_pension_fund-portfolios,mandate-energy,Glencore_LondonStockEx_GLEN,905141,2.762
high_street_pension_fund-portfolios,mandate-energy,BP_LondonStockEx_BP,1713922,5.114
high_street_pension_fund-portfolios,mandate-energy,GBP_Cash,2200000,1
high_street_pension_fund-portfolios,mandate-fixedincome,UKGiltTreasury_3.5_2045,266169,134.433
high_street_pension_fund-portfolios,mandate-fixedincome,UKGiltTreasury_2.0_2025,405589,106.637
high_street_pension_fund-portfolios,mandate-fixedincome,UKGiltTreasury_3.75_2021,174800,108.126
high_street_pension_fund-portfolios,mandate-fixedincome,USTreasury_2.00_2021,357507,97.9
high_street_pension_fund-portfolios,mandate-fixedincome,GBP_Cash,3450000,1
high_street_pension_fund-portfolios,mandate-fixedincome,USD_Cash,1200000,1
high_street_pension_fund-portfolios,mandate-international,USTreasury_2.00_2021,357507,97.9
high_street_pension_fund-portfolios,mandate-international,Apple_Nasdaq_AAPL,504481,168.49
high_street_pension_fund-portfolios,mandate-international,Amazon_Nasdaq_AMZN,38671,1629.13
high_street_pension_fund-portfolios,mandate-international,USD_Cash,1400000,1
high_street_pension_fund-portfolios,mandate-usgovt,USTreasury_2.00_2021,286006,97.9
high_street_pension_fund-portfolios,mandate-usgovt,USTreasury_6.875_2025,256986,124.52
high_street_pension_fund-portfolios,mandate-usgovt,USD_Cash,23000000,1
