Name,Quantity,Amount,Currency,PortfolioCost,InstrumentCurrency,FIGI,ISIN,ClientInternal,Ticker
AMAZON.COM INC,6819,15553866.24,USD,15553866.24,,BBG000BVPV84,US0231351067,,AMZN
GENERAL ELECTRIC CO,3919130,22428005.25,USD,22428005.25,,BBG000BK6MB5,US3696041033,,GE
APPLE INC,120776,31122127.33,USD,31122127.33,,BBG000B9XRY4,US0378331005,,AAPL
MICROSOFT CORP,67223,11817164.78,USD,11817164.78,,BBG000BPH459,US5949181045,,MSFT
FACEBOOK INC-CLASS A,33600,6930000,USD,6930000,,BBG000MM2P62,US30303M1027,,FB
NETFLIX INC,17087,7704128.464,USD,7704128.464,,BBG000CL9VN6,US64110L1061,,NFLX
MSFT Convertible Bond,2567,2322416.24,USD,2322416.24,,,,MFST1.25,
FB Rights Issuance,4616,999133.2,USD,999133.2,,,,FBRights2020_04_27,
TESCO PLC,19715510,40048509.77,GBP,49259667.02,,BBG000BF46Y8,GB0008847096,,TSCO
Settled Cash USD,18000000,18000000,USD,18000000,USD,,,,
IRSFixed3ToFloatLIBOR30,1,0,USD,,,,,IRSFix3FloIBOR30XRJ,
IRSFloatLIBOR180toFixed2.3,1,0,USD,,,,,IRSFloLIBOR180Fix23XTI,
IRSFixed3.2ToFloatLIBOR90,1,0,USD,,,,,IRSFix32FloLIBOR90XYS,
IRSFixed3.2ToFloatLIBOR90,1,0,USD,,,,,IRSFix32FloLIBOR90XUP,
