NAV,ValuationCurrency,Units,PortfolioCost,UnrealisedP&L,PortfolioCurrency,InstrumentName,ClientInternal,Figi,Ticker,Currency
15779711.52,USD,6819,15553866.24,225845.28,USD,AMAZON.COM INC,,BBG000BVPV84,AMZN,USD
33645778.08,USD,120776,31122127.33,2523650.75,USD,APPLE INC,,BBG000B9XRY4,AAPL,USD
5127864,USD,4893,2322416.24,2805447.76,USD,MSFT Convertible Bond,MFST1.25,,,USD
11415137.63,USD,67223,11817164.78,-402027.15,USD,MICROSOFT CORP,,BBG000BPH459,MSFT,USD
6900243.21,USD,17087,7704128.46,-803885.25,USD,NETFLIX INC,,BBG000CL9VN6,NFLX,USD
905197.6,USD,4616,999133.2,-93935.6,USD,FB Rights Issuance,FBRights2020_04_27,,,USD
6145776,USD,33600,6930000,-784224,USD,FACEBOOK INC-CLASS A,,BBG000MM2P62,FB,USD
26650084,USD,3919130,22428005.25,4222078.75,USD,GENERAL ELECTRIC CO,,BBG000BK6MB5,GE,USD
57672787.74,USD,19715510,49259667.02,8413120.721,USD,TESCO PLC,,BBG000BF46Y8,TSCO,USD
19175739,USD,19175739,19175739,0,USD,USD,,,,USD
-3456978,USD,1,0,-3456978,USD,IRSFixed3ToFloatLIBOR30,IRSFix3FloIBOR30XRJ,,,USD
4565000,USD,1,0,4565000,USD,IRSFloatLIBOR180toFixed2.3,IRSFloLIBOR180Fix23XTI,,,USD
3452059,USD,1,0,3452059,USD,IRSFixed3.2ToFloatLIBOR90,IRSFix32FloLIBOR90XYS,,,USD
2345094,USD,1,0,2345094,USD,IRSFixed3.2ToFloatLIBOR90,IRSFix32FloLIBOR90XUP,,,USD
