Name,Date,Close Price,Currency,FIGI,ISIN,ClientInternal,FXPair
AMAZON.COM INC,2020-04-28T16:00:00-04:00,2314.08,USD,BBG000BVPV84,US0231351067,,
GENERAL ELECTRIC CO,2020-04-28T16:00:00-04:00,6.8,USD,BBG000BK6MB5,US3696041033,,
APPLE INC,2020-04-28T16:00:00-04:00,278.58,USD,BBG000B9XRY4,US0378331005,,
MICROSOFT CORP,2020-04-28T16:00:00-04:00,169.81,USD,BBG000BPH459,US5949181045,,
FACEBOOK INC-CLASS A,2020-04-28T16:00:00-04:00,182.91,USD,BBG000MM2P62,US30303M1027,,
NETFLIX INC,2020-04-28T16:00:00-04:00,403.83,USD,BBG000CL9VN6,US64110L1061,,
MSFT Convertible Bond,2020-04-28T16:00:00-04:00,1048,USD,,,MFST1.25,
FB Rights Issuance,2020-04-28T16:00:00-04:00,196.1,USD,,,FBRights2020_04_27,
TESCO PLC,2020-04-28T16:00:00-04:00,2.353,GBP,BBG000BF46Y8,GB0008847096,,
GBP/USD,2020-04-28T16:00:00-04:00,1.2432,Rate,,,,GBP/USD
IRSFixed3ToFloatLIBOR30,2020-04-28T16:00:00-04:00,-3456978,USD,,,IRSFix3FloIBOR30XRJ,
IRSFloatLIBOR180toFixed2.3,2020-04-28T16:00:00-04:00,4565000,USD,,,IRSFloLIBOR180Fix23XTI,
IRSFixed3.2ToFloatLIBOR90,2020-04-28T16:00:00-04:00,3452059,USD,,,IRSFix32FloLIBOR90XYS,
IRSFixed3.2ToFloatLIBOR90,2020-04-28T16:00:00-04:00,2345094,USD,,,IRSFix32FloLIBOR90XUP,
