Name,GICSSector,GICSIndustry,CountryCode,FIGI,ISIN,ClientInternal,SecurityType,ExchangeCode,Ticker,Coupon,PaymentFrequency,ParValue,ConversionRatio,ExerciseDate,CounterParty,ReplacementCost
AMAZON.COM INC,Consumer Discretionary,Internet & Direct Marketing Retail,US,BBG000BVPV84,US0231351067,,Common Stock,US,AMZN,,,,,,,
GENERAL ELECTRIC CO,Industrials,Industrial Conglomerates,US,BBG000BK6MB5,US3696041033,,Common Stock,US,GE,,,,,,,
APPLE INC,Information Technology,"Technology Hardware, Storage & Peripherals",US,BBG000B9XRY4,US0378331005,,Common Stock,US,AAPL,,,,,,,
MICROSOFT CORP,Information Technology,Software,US,BBG000BPH459,US5949181045,,Common Stock,US,MSFT,,,,,,,
FACEBOOK INC-CLASS A,Communication Services,Interactive Media & Services,US,BBG000MM2P62,US30303M1027,,Common Stock,US,FB,,,,,,,
NETFLIX INC,Communication Services,Entertainment,US,BBG000CL9VN6,US64110L1061,,Common Stock,US,NFLX,,,,,,,
TESCO PLC,Consumer Staples,Food & Staples Retailing,GB,BBG000BF46Y8,GB0008847096,,Common Stock,GB,TSCO,,,,,,,
MSFT Convertible Bond,,,,,,MFST1.25,Convertible Bond,,,0.125,Quarterly,1000,5,,,
FB Rights Issuance,,,,,,FBRights2020_04_27,Rights Issuance,,,,,,,27/04/2020,,
IRSFixed3ToFloatLIBOR30,,,,,,IRSFix3FloIBOR30XRJ,Interest Rate Swap,,,,,,,,GS,0
IRSFloatLIBOR180toFixed2.3,,,,,,IRSFloLIBOR180Fix23XTI,Interest Rate Swap,,,,,,,,GS,4565000
IRSFixed3.2ToFloatLIBOR90,,,,,,IRSFix32FloLIBOR90XYS,Interest Rate Swap,,,,,,,,MS,3452059
IRSFixed3.2ToFloatLIBOR90,,,,,,IRSFix32FloLIBOR90XUP,Interest Rate Swap,,,,,,,,GS,2345094
