Ticker,Name,Sector,ISIN,SEDOL,Figi,Moodys,SP,Fitch,Internal
III LN,3i 1.5% 23-Oct-2030,Financial Services,GB00B1YW4409,B1YW440,BBG000BZZ876,BBB+,A+,AA-,BBB
ADM LN,Admiral Group 2.0% 8-Aug-2045,Nonlife Insurance,GB00B02J6398,B02J639,BBG000PG2GZ0,,A+,A,AA
AAL LN,Anglo American plc 2.5% 8-Aug-2045,Mining,GB00B1XZS820,B1XZS82,BBG000BBLDF4,BBB+,AA,AA,
ANTO LN,Antofagasta 1.5% 8-Aug-2045,Mining,GB0000456144,45614,BBG000BD4SC9,AA,A-,A+,A+
AHT LN,Ashtead Group 1.0% 8-Aug-2045,Support Services,GB0000536739,53673,BBG000BD42C6,A,AA,BBB-,BBB+
ABF LN,Associated British Foods 1.0% 8-Aug-2045,Food Producers,GB0006731235,673123,BBG000BD3SC0,A,A,AA,AA-
AZN LN,AstraZeneca 0.5% 5-Mar-2023,Pharmaceuticals & Biotechnology,GB0009895292,989529,BBG000C0YDQ1,AA,BBB,,A+
AUTO LN,Auto Trader Group 2.0% 23-Oct-2030,Media,GB00BVYVFW23,BVYVFW2,BBG0086LKMG1,BBB-,AA-,AA,AA
AVST LN,Avast 1.0% 5-Mar-2023,Software & Computer Services,GB00BDD85M81,BDD85M8,BBG00KW3SK62,BBB,A,BBB,BBB
AVV LN,Aveva 1.0% 8-Aug-2045,Software & Computer Services,GB00BBG9VN75,BBG9VN7,BBG000C21Y87,A,A-,A-,AA-
AV/ LN,Aviva 1.5% 5-Mar-2023,Life Insurance,GB0002162385,216238,BBG000DDCSJ1,A+,A-,BBB+,A-
BME LN,B&M 2.0% 23-Oct-2030,Retailers,LU1072616219,BMTRW10,BBG006K4W740,AA,A,BBB-,BBB+
BA/ LN,BAE Systems 1.5% 5-Mar-2023,Aerospace & Defence,GB0002634946,263494,BBG000BD5TW4,BBB-,A-,A+,
BARC LN,Barclays 2.5% 23-Oct-2030,Banks,GB0031348658,3134865,BBG000C04D57,AA-,A+,AA,A-
BDEV LN,Barratt Developments 1.0% 8-Aug-2045,Household Goods & Home Construction,GB0000811801,81180,BBG000BD6DG6,A-,A-,AA-,A+
BKG LN,Berkeley Group Holdings 1.5% 5-Mar-2023,Household Goods & Home Construction,GB00B02L3W35,B02L3W3,BBG000H6ZKT3,BBB,AA,,A
BHP LN,BHP 0.5% 5-Mar-2023,Mining,GB00BH0P3Z91,BH0P3Z9,BBG000F3W0C7,,A,A+,AA-
BP/ LN,BP 2.0% 8-Aug-2045,Oil & Gas Producers,GB0007980591,798059,BBG000C05BD1,AA-,A-,A+,A-
BATS LN,British American Tobacco 1.5% 23-Oct-2030,Tobacco,GB0002875804,287580,BBG000BG9N74,A,BBB+,BBB-,BBB-
BLND LN,British Land 1.0% 8-Aug-2045,Real Estate Investment Trusts,GB0001367019,136701,BBG000BD7DW7,BBB+,,AA,BBB+
BT/A LN,BT Group 2.0% 5-Mar-2023,Fixed Line Telecommunications,GB0030913577,3091357,BBG000C05R82,A+,AA-,A-,A-
BNZL LN,Bunzl 2.5% 8-Aug-2045,Support Services,GB00B0744B38,B0744B3,BBG000BD7MX6,A+,,A+,AA-
BRBY LN,Burberry 0.5% 8-Aug-2045,Personal Goods,GB0031743007,3174300,BBG000BYJMD9,A+,A-,A-,
CCH LN,Coca-Cola HBC 1.0% 8-Aug-2045,Beverages,CH0198251305,B9895B7,BBG000BS1Q24,AA,AA-,BBB,BBB
CPG LN,Compass Group 2.0% 5-Mar-2023,Support Services,GB00BD6K4575,BD6K457,BBG000FNNYW7,A-,A,,AA
CRH LN,CRH plc 0.5% 8-Aug-2045,Construction & Materials,IE0001827041,182704,BBG000BDCN13,A+,A-,BBB,BBB-
CRDA LN,Croda International 2.5% 5-Mar-2023,Chemicals,GB00BJFFLV09,BJFFLV0,BBG000BDCLS8,BBB-,,BBB-,
DCC LN,DCC plc 1.0% 8-Aug-2045,Support Services,IE0002424939,242493,BBG000BFLBK3,BBB,A,A+,BBB-
DGE LN,Diageo 0.5% 8-Aug-2045,Beverages,GB0002374006,237400,BBG000BS69D5,A-,A+,BBB+,BBB
ENT LN,Entain 2.0% 8-Aug-2045,Travel & Leisure,IM00B5VQMV65,B5VQMV6,BBG000FTWDZ7,BBB-,A+,AA-,A+
EVR LN,Evraz 1.5% 23-Oct-2030,Industrial Metals & Mining,GB00B71N6K86,B71N6K8,BBG0027J63T2,A+,A,,
EXPN LN,Experian 1.5% 5-Mar-2023,Support Services,GB00B19NLV48,B19NLV4,BBG000BKFZN3,BBB+,BBB,AA-,BBB+
