instrument_name,client_internal,currency,isin,figi,couprate,s&p rating,moodys_rating
BP_LondonStockEx_BP,imd_43535553,GBP,GB0007980591,BBG000C05BD1,nan,NaN,NaN
BurfordCapital_LondonStockEx_BUR,imd_43534356,GBP,GG00B4L84979,BBG000PN88Q7,nan,NaN,NaN
EKFDiagnostics_LondonStockEx_EKF,imd_34535355,GBP,GB0031509804,BBG000BVNBN3,nan,NaN,NaN
Glencore_LondonStockEx_GLEN,imd_34534555,GBP,JE00B4T3BW64,BBG001MM1KV4,nan,NaN,NaN
JustEat_LondonStockEx_JE,imd_35436366,GBP,GB00BKX5CN86,BBG0065YWM39,nan,NaN,NaN
Kingfisher_LondonStockEx_KGF,imd_34535552,GBP,GB0033195214,BBG000BKH1W6,nan,NaN,NaN
MicroFocus_LondonStockEx_MCRO,imd_34567338,GBP,GB00BD8YWM01,BBG000G4KKD2,nan,NaN,NaN
RELXGroup_LondonStockEx_REL,imd_43532542,GBP,GB00B2B0DG97,BBG000D03XD4,nan,NaN,NaN
Sage_LondonStockEx_SGE,imd_23536673,GBP,GB00B8C3BL03,BBG000BN0PP3,nan,NaN,NaN
TESCO_LondonStockEx_TSCO,imd_34634673,GBP,GB0008847096,BBG000BF46Y8,nan,NaN,NaN
UKGiltTreasury_2.0_2025,imd_34534536,GBP,GB00BTHH2R79,BBG0088JSC32,2,AA,NaN
UKGiltTreasury_3.5_2045,imd_54234532,GBP,GB00BN65R313,BBG006N6HZM7,3.5,AA,NaN
UKGiltTreasury_3.75_2021,imd_34643653,GBP,GB00B4RMG977,BBG001KKJLR4,3.75,AA,NaN
UKGiltTreasury_4.5_2034,imd_34534534,GBP,GB00B52WS153,BBG0000D14P3,4.5,AA,NaN
WPP_LondonStockEx_WPP,imd_34536734,GBP,JE00B8KF9B49,BBG000BF6B57,nan,NaN,NaN
Whitebread_LondonStockEx_WTB,imd_35349900,GBP,GB00B1KJJ408,BBG000BRVH05,nan,NaN,NaN
TESCO_6.13_2022,imd_34001121,GBP,XS0414345974,NaN,6.13,A-,NaN
Amazon_Nasdaq_AMZN,imd_34634534,USD,US0231351067,BBG000BVPXP1,nan,NaN,NaN
Apple_Nasdaq_AAPL,imd_35345345,USD,US0378331005,BBG000B9XVV8,nan,NaN,NaN
USTreasury_2.00_2021,imd_34535347,USD,US912828U816,BBG00FN3B5K8,2,NaN,Aa2
USTreasury_6.875_2025,imd_34534539,USD,US912810EV62,BBG000DQQNJ8,6.88,NaN,Aa2
TESCO_6.15_2037,imd_54001121,USD,US881575AC87,NaN,6.15,NaN,Baa1
