date,figi,close_price,currency
10/10/2019,BBG000BMFD58,34.49,USD
11/10/2019,BBG000BMFD58,35.28,USD
14/10/2019,BBG000BMFD58,35.49,USD
15/10/2019,BBG000BMFD58,36.42,USD
16/10/2019,BBG000BMFD58,36,USD
17/10/2019,BBG000BMFD58,36.33,USD
18/10/2019,BBG000BMFD58,36.79,USD
21/10/2019,BBG000BMFD58,37.65,USD
22/10/2019,BBG000BMFD58,38.15,USD
23/10/2019,BBG000BMFD58,38.75,USD
24/10/2019,BBG000BMFD58,38.52,USD
25/10/2019,BBG000BMFD58,38.65,USD
28/10/2019,BBG000BMFD58,39.08,USD
29/10/2019,BBG000BMFD58,39.09,USD
30/10/2019,BBG000BMFD58,39.6,USD
31/10/2019,BBG000BMFD58,38.38,USD
01/11/2019,BBG000BMFD58,39.21,USD
04/11/2019,BBG000BMFD58,39.93,USD
05/11/2019,BBG000BMFD58,39.8,USD
06/11/2019,BBG000BMFD58,39.83,USD
07/11/2019,BBG000BMFD58,40.05,USD
08/11/2019,BBG000BMFD58,40.48,USD
11/11/2019,BBG000BMFD58,40.14,USD
12/11/2019,BBG000BMFD58,40.2,USD
13/11/2019,BBG000BMFD58,39.6,USD
14/11/2019,BBG000BMFD58,40.29,USD
15/11/2019,BBG000BMFD58,40.7,USD
18/11/2019,BBG000BMFD58,40.45,USD
19/11/2019,BBG000BMFD58,40.64,USD
20/11/2019,BBG000BMFD58,41.38,USD
21/11/2019,BBG000BMFD58,48.38,USD
22/11/2019,BBG000BMFD58,48.13,USD
25/11/2019,BBG000BMFD58,51.78,USD
26/11/2019,BBG000BMFD58,51.655,USD
27/11/2019,BBG000BMFD58,52.16,USD
29/11/2019,BBG000BMFD58,51.83,USD
02/12/2019,BBG000BMFD58,51.79,USD
03/12/2019,BBG000BMFD58,50.89,USD
04/12/2019,BBG000BMFD58,51.46,USD
05/12/2019,BBG000BMFD58,50.79,USD
06/12/2019,BBG000BMFD58,51.115,USD
09/12/2019,BBG000BMFD58,51.09,USD
10/12/2019,BBG000BMFD58,51.33,USD
11/12/2019,BBG000BMFD58,51.72,USD
12/12/2019,BBG000BMFD58,53.45,USD
13/12/2019,BBG000BMFD58,52.06,USD
16/12/2019,BBG000BMFD58,51.81,USD
17/12/2019,BBG000BMFD58,51.55,USD
18/12/2019,BBG000BMFD58,50.7,USD
19/12/2019,BBG000BMFD58,50.08,USD
20/12/2019,BBG000BMFD58,50.15,USD
23/12/2019,BBG000BMFD58,50.76,USD
24/12/2019,BBG000BMFD58,50.74,USD
26/12/2019,BBG000BMFD58,50.77,USD
27/12/2019,BBG000BMFD58,50.36,USD
30/12/2019,BBG000BMFD58,49.97,USD
31/12/2019,BBG000BMFD58,49.7,USD
02/01/2020,BBG000BMFD58,50.51,USD
03/01/2020,BBG000BMFD58,49.24,USD
06/01/2020,BBG000BMFD58,49.56,USD
07/01/2020,BBG000BMFD58,50.18,USD
08/01/2020,BBG000BMFD58,50.21,USD
09/01/2020,BBG000BMFD58,50.32,USD
10/01/2020,BBG000BMFD58,50.005,USD
13/01/2020,BBG000BMFD58,50.27,USD
14/01/2020,BBG000BMFD58,49.86,USD
15/01/2020,BBG000BMFD58,49.23,USD
16/01/2020,BBG000BMFD58,51.21,USD
17/01/2020,BBG000BMFD58,50.53,USD
21/01/2020,BBG000BMFD58,50.75,USD
22/01/2020,BBG000BMFD58,51.28,USD
23/01/2020,BBG000BMFD58,50.7,USD
24/01/2020,BBG000BMFD58,49.32,USD
27/01/2020,BBG000BMFD58,47.76,USD
28/01/2020,BBG000BMFD58,48.35,USD
29/01/2020,BBG000BMFD58,47.96,USD
30/01/2020,BBG000BMFD58,49.24,USD
31/01/2020,BBG000BMFD58,47.48,USD
03/02/2020,BBG000BMFD58,47.65,USD
04/02/2020,BBG000BMFD58,49.05,USD
05/02/2020,BBG000BMFD58,50.39,USD
06/02/2020,BBG000BMFD58,49.84,USD
07/02/2020,BBG000BMFD58,49.31,USD
10/02/2020,BBG000BMFD58,48.83,USD
11/02/2020,BBG000BMFD58,49.76,USD
12/02/2020,BBG000BMFD58,49.94,USD
13/02/2020,BBG000BMFD58,49.59,USD
14/02/2020,BBG000BMFD58,49.54,USD
18/02/2020,BBG000BMFD58,49,USD
19/02/2020,BBG000BMFD58,49.81,USD
20/02/2020,BBG000BMFD58,51.01,USD
21/02/2020,BBG000BMFD58,48.57,USD
24/02/2020,BBG000BMFD58,45.92,USD
25/02/2020,BBG000BMFD58,43.62,USD
26/02/2020,BBG000BMFD58,43.32,USD
27/02/2020,BBG000BMFD58,43.75,USD
28/02/2020,BBG000BMFD58,42.23,USD
02/03/2020,BBG000BMFD58,43.67,USD
03/03/2020,BBG000BMFD58,39.73,USD
