transaction_id,type,units,transaction_price,transaction_date,settlement_date,total_consideration,client_internal,ticker,name,sleeve,trade_to_portfolio_rate
txn_000,FundsIn,"80,000,000",1,2020-03-04T00:00:00.0000000+00:00,2020-03-05T00:00:00.0000000+00:00,"80,000,000",CASH_USD,USD,Cash USD,Sleeve 1,0.778735
txn_001,FundsIn,"95,000,000",1,2020-03-04T00:00:00.0000000+00:00,2020-03-05T00:00:00.0000000+00:00,"95,000,000",CASH_USD,USD,Cash USD,Sleeve 2,0.778735
txn_002,Buy,"100,000",167.63,2020-03-05T00:00:00.0000000+00:00,2020-03-08T00:00:00.0000000+00:00,"16,763,000",EQUITY_APPL,AAPL,Apple,Sleeve 1,0.772475
txn_003,Buy,"100,000",162.98,2020-03-06T00:00:00.0000000+00:00,2020-03-09T00:00:00.0000000+00:00,"16,298,000",EQUITY_APPL,AAPL,Apple,Sleeve 1,0.76482
txn_004,Buy,"100,000",165.42,2020-03-07T00:00:00.0000000+00:00,2020-03-10T00:00:00.0000000+00:00,"16,542,000",EQUITY_APPL,AAPL,Apple,Sleeve 1,0.766342
txn_005,Sell,"150,000",166.39,2020-03-08T00:00:00.0000000+00:00,2020-03-11T00:00:00.0000000+00:00,"24,958,500",EQUITY_APPL,AAPL,Apple,Sleeve 1,0.766355
txn_006,Buy,"70,000",288.45,2020-03-04T00:00:00.0000000+00:00,2020-03-08T00:00:00.0000000+00:00,"20,191,500",EQUITY_MSFT,MSFT,Microsoft,Sleeve 2,0.778735
txn_007,Buy,"70,000",284.34,2020-03-05T00:00:00.0000000+00:00,2020-03-09T00:00:00.0000000+00:00,"19,903,800",EQUITY_MSFT,MSFT,Microsoft,Sleeve 2,0.772475
txn_008,Buy,"70,000",140.23,2020-03-07T00:00:00.0000000+00:00,2020-03-10T00:00:00.0000000+00:00,"9,816,100",EQUITY_MSFT,MSFT,Microsoft,Sleeve 2,0.766342
txn_009,Sell,"160,000",139.56,2020-03-08T00:00:00.0000000+00:00,2020-03-11T00:00:00.0000000+00:00,"11,164,800",EQUITY_MSFT,MSFT,Microsoft,Sleeve 2,0.766355
txn_010,Buy,"10,000",323.09,2020-03-05T00:00:00.0000000+00:00,2020-03-08T00:00:00.0000000+00:00,"3,230,900",EQUITY_BRKB,BRK-B,Berkshire Hathaway,Sleeve 1,0.772475
txn_011,Buy,"10,000",320.2,2020-03-06T00:00:00.0000000+00:00,2020-03-09T00:00:00.0000000+00:00,"3,202,000",EQUITY_BRKB,BRK-B,Berkshire Hathaway,Sleeve 1,0.76482
txn_012,Buy,"10,000",325.68,2020-03-07T00:00:00.0000000+00:00,2020-03-10T00:00:00.0000000+00:00,"3,256,800",EQUITY_BRKB,BRK-B,Berkshire Hathaway,Sleeve 1,0.766342
txn_013,Sell,"15,000",328.76,2020-03-08T00:00:00.0000000+00:00,2020-03-11T00:00:00.0000000+00:00,"4,931,400",EQUITY_BRKB,BRK-B,Berkshire Hathaway,Sleeve 1,0.766355
txn_014,Buy,"18,000",279.31,2020-03-05T00:00:00.0000000+00:00,2020-03-08T00:00:00.0000000+00:00,"5,027,580",EQUITY_NVDA,NVDA,NVIDIA,Sleeve 2,0.772475
txn_015,Buy,"12,000",276.98,2020-03-06T00:00:00.0000000+00:00,2020-03-09T00:00:00.0000000+00:00,"3,323,760",EQUITY_NVDA,NVDA,NVIDIA,Sleeve 2,0.76482
txn_016,Buy,"2,000",275.88,2020-03-07T00:00:00.0000000+00:00,2020-03-10T00:00:00.0000000+00:00,"551,760",EQUITY_NVDA,NVDA,NVIDIA,Sleeve 2,0.766342
