Ticker,Name,Sector,ISIN,SEDOL,Figi,Moodys,SP,Fitch,Internal
III LN,3i,Financial Services,GB00B1YW4409,B1YW440,BBG000BZZ876,BBB+,A+,AA-,BBB
ADM LN,Admiral Group,Nonlife Insurance,GB00B02J6398,B02J639,BBG000PG2GZ0,,A+,A,AA
AAL LN,Anglo American plc,Mining,GB00B1XZS820,B1XZS82,BBG000BBLDF4,BBB+,AA,AA,
ANTO LN,Antofagasta,Mining,GB0000456144,45614,BBG000BD4SC9,AA,A-,A+,A+
AHT LN,Ashtead Group,Support Services,GB0000536739,53673,BBG000BD42C6,A,AA,BBB-,BBB+
ABF LN,Associated British Foods,Food Producers,GB0006731235,673123,BBG000BD3SC0,A,A,AA,AA-
AZN LN,AstraZeneca,Pharmaceuticals & Biotechnology,GB0009895292,989529,BBG000C0YDQ1,AA,BBB,,A+
AUTO LN,Auto Trader Group,Media,GB00BVYVFW23,BVYVFW2,BBG0086LKMG1,BBB-,AA-,AA,AA
AVST LN,Avast,Software & Computer Services,GB00BDD85M81,BDD85M8,BBG00KW3SK62,BBB,A,BBB,BBB
AVV LN,Aveva,Software & Computer Services,GB00BBG9VN75,BBG9VN7,BBG000C21Y87,A,A-,A-,AA-
AV/ LN,Aviva,Life Insurance,GB0002162385,216238,BBG000DDCSJ1,A+,A-,BBB+,A-
BME LN,B&M,Retailers,LU1072616219,BMTRW10,BBG006K4W740,AA,A,BBB-,BBB+
BA/ LN,BAE Systems,Aerospace & Defence,GB0002634946,263494,BBG000BD5TW4,BBB-,A-,A+,
BARC LN,Barclays,Banks,GB0031348658,3134865,BBG000C04D57,AA-,A+,AA,A-
BDEV LN,Barratt Developments,Household Goods & Home Construction,GB0000811801,81180,BBG000BD6DG6,A-,A-,AA-,A+
BKG LN,Berkeley Group Holdings,Household Goods & Home Construction,GB00B02L3W35,B02L3W3,BBG000H6ZKT3,BBB,AA,,A
BHP LN,BHP,Mining,GB00BH0P3Z91,BH0P3Z9,BBG000F3W0C7,,A,A+,AA-
BP/ LN,BP,Oil & Gas Producers,GB0007980591,798059,BBG000C05BD1,AA-,A-,A+,A-
BATS LN,British American Tobacco,Tobacco,GB0002875804,287580,BBG000BG9N74,A,BBB+,BBB-,BBB-
BLND LN,British Land,Real Estate Investment Trusts,GB0001367019,136701,BBG000BD7DW7,BBB+,,AA,BBB+
BT/A LN,BT Group,Fixed Line Telecommunications,GB0030913577,3091357,BBG000C05R82,A+,AA-,A-,A-
BNZL LN,Bunzl,Support Services,GB00B0744B38,B0744B3,BBG000BD7MX6,A+,,A+,AA-
BRBY LN,Burberry,Personal Goods,GB0031743007,3174300,BBG000BYJMD9,A+,A-,A-,
CCH LN,Coca-Cola HBC,Beverages,CH0198251305,B9895B7,BBG000BS1Q24,AA,AA-,BBB,BBB
CPG LN,Compass Group,Support Services,GB00BD6K4575,BD6K457,BBG000FNNYW7,A-,A,,AA
CRH LN,CRH plc,Construction & Materials,IE0001827041,182704,BBG000BDCN13,A+,A-,BBB,BBB-
CRDA LN,Croda International,Chemicals,GB00BJFFLV09,BJFFLV0,BBG000BDCLS8,BBB-,,BBB-,
DCC LN,DCC plc,Support Services,IE0002424939,242493,BBG000BFLBK3,BBB,A,A+,BBB-
DGE LN,Diageo,Beverages,GB0002374006,237400,BBG000BS69D5,A-,A+,BBB+,BBB
ENT LN,Entain,Travel & Leisure,IM00B5VQMV65,B5VQMV6,BBG000FTWDZ7,BBB-,A+,AA-,A+
EVR LN,Evraz,Industrial Metals & Mining,GB00B71N6K86,B71N6K8,BBG0027J63T2,A+,A,,
EXPN LN,Experian,Support Services,GB00B19NLV48,B19NLV4,BBG000BKFZN3,BBB+,BBB,AA-,BBB+
FERG LN,Ferguson plc,Support Services,JE00BJVNSS43,BJVNSS4,BBG00NZJ0JG0,A-,A+,BBB,
FLTR LN,Flutter Entertainment,Travel & Leisure,IE00BWT6H894,BWXC0Z1,BBG000DWL6M3,BBB-,,,BBB+
FRES LN,Fresnillo,Mining,GB00B2QPKJ12,B2QPKJ1,BBG000RC9QX0,AA-,A+,BBB+,BBB-
GSK LN,GlaxoSmithKline,Pharmaceuticals & Biotechnology,GB0009252882,925288,BBG000CT5GJ1,,A,BBB+,A+
GLEN LN,Glencore,Mining,JE00B4T3BW64,B4T3BW6,BBG001MM1KV4,BBB-,AA,BBB,AA
HLMA LN,Halma,Electronic & Electrical Equipment,GB0004052071,405207,BBG000BDLT47,A-,,AA,AA
