Tenor,Days,EUR-Rates,USD-Rates,EURdf,USDdf,Vol25D,ATM,Vol75D,Strike25D,StrikeATM,Strike75D
1M,30,0.22,1.22,0.9998,0.999,0.12,0.1,0.11,1.185,1.2,1.215
2M,60,0.37,1.37,0.9994,0.9978,0.1205,0.101,0.1105,1.185,1.2,1.215
3M,90,0.53,1.53,0.9987,0.9962,0.121,0.102,0.111,1.185,1.2,1.215
6M,180,0.95,1.95,0.9953,0.9904,0.1215,0.103,0.1115,1.185,1.2,1.215
1Y,365,1.3,2.3,0.9871,0.9773,0.122,0.104,0.112,1.185,1.2,1.215
18M,547.5,1.5,2.5,0.9778,0.9632,0.1225,0.105,0.1125,1.185,1.2,1.215
2Y,730,1.5,2.5,0.9705,0.9513,0.123,0.106,0.113,1.185,1.2,1.215
3Y,1095,1.43,2.43,0.958,0.9297,0.1235,0.107,0.1135,1.185,1.2,1.215
4Y,1460,1.37,2.37,0.9467,0.9096,0.124,0.108,0.114,1.185,1.2,1.215
5Y,1825,1.31,2.31,0.9366,0.8909,0.1245,0.109,0.1145,1.185,1.2,1.215
