Date,Rate,Index
03/01/2021,1.2025,LIBOR
04/01/2021,1.205,LIBOR
05/01/2021,1.2062,LIBOR
06/01/2021,1.2038,LIBOR
07/01/2021,1.2011,LIBOR
08/01/2021,1.2076,LIBOR
09/01/2021,1.2002,LIBOR
10/01/2021,1.2027,LIBOR
11/01/2021,1.2007,LIBOR
12/01/2021,1.2074,LIBOR
13/01/2021,1.2031,LIBOR
14/01/2021,1.2058,LIBOR
15/01/2021,1.2012,LIBOR
16/01/2021,1.2039,LIBOR
17/01/2021,1.2099,LIBOR
18/01/2021,1.2019,LIBOR
19/01/2021,1.2079,LIBOR
20/01/2021,1.2018,LIBOR
21/01/2021,1.2058,LIBOR
22/01/2021,1.2032,LIBOR
23/01/2021,1.2018,LIBOR
24/01/2021,1.2043,LIBOR
25/01/2021,1.2085,LIBOR
26/01/2021,1.2062,LIBOR
27/01/2021,1.201,LIBOR
28/01/2021,1.2043,LIBOR
29/01/2021,1.2014,LIBOR
30/01/2021,1.203,LIBOR
31/01/2021,1.2073,LIBOR
01/02/2021,1.2008,LIBOR
02/02/2021,1.2063,LIBOR
03/02/2021,1.2011,LIBOR
04/02/2021,1.206,LIBOR
05/02/2021,1.2006,LIBOR
06/02/2021,1.2051,LIBOR
07/02/2021,1.2013,LIBOR
08/02/2021,1.2023,LIBOR
09/02/2021,1.205,LIBOR
10/02/2021,1.2041,LIBOR
11/02/2021,1.2047,LIBOR
12/02/2021,1.2015,LIBOR
13/02/2021,1.2079,LIBOR
14/02/2021,1.2035,LIBOR
15/02/2021,1.2017,LIBOR
16/02/2021,1.2014,LIBOR
17/02/2021,1.2072,LIBOR
18/02/2021,1.2064,LIBOR
19/02/2021,1.2077,LIBOR
20/02/2021,1.2084,LIBOR
21/02/2021,1.204,LIBOR
22/02/2021,1.206,LIBOR
23/02/2021,1.2043,LIBOR
24/02/2021,1.2017,LIBOR
25/02/2021,1.2066,LIBOR
26/02/2021,1.2028,LIBOR
27/02/2021,1.2018,LIBOR
28/02/2021,1.2096,LIBOR
01/03/2021,1.2082,LIBOR
02/03/2021,1.2055,LIBOR
03/03/2021,1.2055,LIBOR
04/03/2021,1.2098,LIBOR
05/03/2021,1.2062,LIBOR
06/03/2021,1.2026,LIBOR
07/03/2021,1.2018,LIBOR
08/03/2021,1.206,LIBOR
09/03/2021,1.2036,LIBOR
10/03/2021,1.207,LIBOR
11/03/2021,1.2053,LIBOR
12/03/2021,1.2062,LIBOR
13/03/2021,1.2015,LIBOR
14/03/2021,1.2063,LIBOR
15/03/2021,1.209,LIBOR
16/03/2021,1.2019,LIBOR
17/03/2021,1.2001,LIBOR
18/03/2021,1.2032,LIBOR
19/03/2021,1.201,LIBOR
20/03/2021,1.2081,LIBOR
21/03/2021,1.2062,LIBOR
22/03/2021,1.2085,LIBOR
23/03/2021,1.2053,LIBOR
24/03/2021,1.2017,LIBOR
25/03/2021,1.2089,LIBOR
26/03/2021,1.2027,LIBOR
27/03/2021,1.2053,LIBOR
28/03/2021,1.2062,LIBOR
29/03/2021,1.2015,LIBOR
30/03/2021,1.2063,LIBOR
31/03/2021,1.209,LIBOR
01/04/2021,1.2019,LIBOR
02/04/2021,1.2001,LIBOR
03/04/2021,1.2032,LIBOR
04/04/2021,1.201,LIBOR
05/04/2021,1.2081,LIBOR
06/04/2021,1.2062,LIBOR
07/04/2021,1.2085,LIBOR
08/04/2021,1.2053,LIBOR
09/04/2021,1.2017,LIBOR
10/04/2021,1.2089,LIBOR
11/04/2021,1.2027,LIBOR
12/04/2021,1.2062,LIBOR
13/04/2021,1.2015,LIBOR
14/04/2021,1.204689706,LIBOR
15/04/2021,1.20469902,LIBOR
16/04/2021,1.204708333,LIBOR
17/04/2021,1.204717647,LIBOR
18/04/2021,1.204726961,LIBOR
19/04/2021,1.204736275,LIBOR
20/04/2021,1.204745588,LIBOR
21/04/2021,1.204754902,LIBOR
22/04/2021,1.204764216,LIBOR
23/04/2021,1.204773529,LIBOR
24/04/2021,1.204782843,LIBOR
25/04/2021,1.204792157,LIBOR
26/04/2021,1.204801471,LIBOR
27/04/2021,1.204810784,LIBOR
28/04/2021,1.204820098,LIBOR
29/04/2021,1.204829412,LIBOR
30/04/2021,1.204838725,LIBOR
