date,price
03/01/2022,171.40
04/01/2022,162.52
05/01/2022,163.35
06/01/2022,164.25
07/01/2022,165.55
10/01/2022,166.48
11/01/2022,167.36
12/01/2022,168.20
13/01/2022,169.21
14/01/2022,161.13
18/01/2022,152.91
19/01/2022,153.00
20/01/2022,154.66
21/01/2022,145.64
24/01/2022,146.54
25/01/2022,137.98
26/01/2022,138.00
27/01/2022,139.63
28/01/2022,141.97
31/01/2022,142.57
01/02/2022,153.19
02/02/2022,154.61
03/02/2022,135.84
04/02/2022,155.63
07/02/2022,154.93
08/02/2022,163.41
09/02/2022,162.18
10/02/2022,151.00
11/02/2022,152.29
14/02/2022,153.20
15/02/2022,154.51
16/02/2022,155.10
17/02/2022,156.65
18/02/2022,157.60
22/02/2022,158.19
23/02/2022,149.82
24/02/2022,154.35
25/02/2022,155.01
28/02/2022,156.56
01/03/2022,156.14
02/03/2022,155.00
03/03/2022,144.89
04/03/2022,143.64
07/03/2022,132.46
08/03/2022,131.01
09/03/2022,131.27
10/03/2022,142.81
11/03/2022,143.52
14/03/2022,144.85
15/03/2022,145.36
16/03/2022,156.15
17/03/2022,157.24
18/03/2022,168.25
21/03/2022,169.49
22/03/2022,165.88
23/03/2022,161.40
24/03/2022,162.64
25/03/2022,163.77
28/03/2022,164.99
29/03/2022,165.31
30/03/2022,167.30
