ClientInternal,date,price,currency
MSFT,2021-09-01,300,USD
MSFT,2021-09-02,301.15,USD
MSFT,2021-09-03,301.14,USD
MSFT,2021-09-07,300.18,USD
MSFT,2021-09-08,300.21,USD
MSFT,2021-09-09,297.25,USD
MSFT,2021-09-10,295.71,USD
MSFT,2021-09-13,296.99,USD
MSFT,2021-09-14,299.79,USD
MSFT,2021-09-15,304.82,USD
MSFT,2021-09-16,305.22,USD
MSFT,2021-09-17,299.87,USD
MSFT,2021-09-20,294.3,USD
MSFT,2021-09-21,294.8,USD
MSFT,2021-09-22,298.58,USD
MSFT,2021-09-23,299.56,USD
MSFT,2021-09-24,299.35,USD
MSFT,2021-09-27,294.17,USD
MSFT,2021-09-28,283.52,USD
MSFT,2021-09-29,284,USD
MSFT,2021-09-30,281.92,USD
MSFT,2021-10-01,289.1,USD
MSFT,2021-10-04,283.11,USD
MSFT,2021-10-05,288.76,USD
MSFT,2021-10-06,293.11,USD
MSFT,2021-10-07,294.85,USD
MSFT,2021-10-08,294.85,USD
MSFT,2021-10-11,294.23,USD
MSFT,2021-10-12,292.88,USD
MSFT,2021-10-13,296.31,USD
MSFT,2021-10-14,302.75,USD
MSFT,2021-10-15,304.21,USD
MSFT,2021-10-18,307.29,USD
MSFT,2021-10-19,308.23,USD
MSFT,2021-10-20,307.41,USD
MSFT,2021-10-21,310.76,USD
MSFT,2021-10-22,309.16,USD
MSFT,2021-10-25,308.13,USD
MSFT,2021-10-26,310.11,USD
MSFT,2021-10-27,323.17,USD
MSFT,2021-10-28,324.35,USD
MSFT,2021-10-29,331.62,USD
MSFT,2021-11-01,329.37,USD
MSFT,2021-11-02,333.13,USD
MSFT,2021-11-03,334,USD
MSFT,2021-11-04,336.44,USD
MSFT,2021-11-05,336.06,USD
MSFT,2021-11-08,336.99,USD
MSFT,2021-11-09,337.045,USD
MSFT,2021-11-10,338.045,USD
MSFT,2021-11-11,339.045,USD
MSFT,2021-11-12,340.045,USD
