"Date","Rate","Index"
03/01/2022,-0.578,ESTRON
04/01/2022,-0.578,ESTRON
05/01/2022,-0.578,ESTRON
06/01/2022,-0.578,ESTRON
07/01/2022,-0.58,ESTRON
10/01/2022,-0.579,ESTRON
11/01/2022,-0.579,ESTRON
12/01/2022,-0.578,ESTRON
13/01/2022,-0.578,ESTRON
14/01/2022,-0.578,ESTRON
17/01/2022,-0.578,ESTRON
18/01/2022,-0.579,ESTRON
19/01/2022,-0.578,ESTRON
20/01/2022,-0.579,ESTRON
21/01/2022,-0.579,ESTRON
24/01/2022,-0.579,ESTRON
25/01/2022,-0.578,ESTRON
26/01/2022,-0.576,ESTRON
27/01/2022,-0.573,ESTRON
28/01/2022,-0.573,ESTRON
31/01/2022,-0.579,ESTRON
01/02/2022,-0.578,ESTRON
02/02/2022,-0.578,ESTRON
03/02/2022,-0.577,ESTRON
04/02/2022,-0.578,ESTRON
07/02/2022,-0.578,ESTRON
08/02/2022,-0.574,ESTRON
09/02/2022,-0.578,ESTRON
10/02/2022,-0.572,ESTRON
11/02/2022,-0.578,ESTRON
14/02/2022,-0.578,ESTRON
15/02/2022,-0.576,ESTRON
16/02/2022,-0.576,ESTRON
17/02/2022,-0.576,ESTRON
18/02/2022,-0.576,ESTRON
21/02/2022,-0.576,ESTRON
22/02/2022,-0.575,ESTRON
23/02/2022,-0.576,ESTRON
24/02/2022,-0.576,ESTRON
25/02/2022,-0.575,ESTRON
28/02/2022,-0.58,ESTRON
01/03/2022,-0.577,ESTRON
02/03/2022,-0.578,ESTRON
03/03/2022,-0.579,ESTRON
04/03/2022,-0.577,ESTRON
07/03/2022,-0.579,ESTRON
08/03/2022,-0.579,ESTRON
09/03/2022,-0.58,ESTRON
10/03/2022,-0.576,ESTRON
11/03/2022,-0.577,ESTRON
14/03/2022,-0.577,ESTRON
15/03/2022,-0.573,ESTRON
16/03/2022,-0.577,ESTRON
17/03/2022,-0.578,ESTRON
18/03/2022,-0.578,ESTRON
21/03/2022,-0.578,ESTRON
22/03/2022,-0.578,ESTRON
23/03/2022,-0.578,ESTRON
24/03/2022,-0.579,ESTRON
25/03/2022,-0.581,ESTRON
28/03/2022,-0.58,ESTRON
29/03/2022,-0.579,ESTRON
30/03/2022,-0.579,ESTRON
31/03/2022,-0.593,ESTRON
01/04/2022,-0.582,ESTRON
04/04/2022,-0.585,ESTRON
05/04/2022,-0.586,ESTRON
06/04/2022,-0.584,ESTRON
07/04/2022,-0.582,ESTRON
08/04/2022,-0.583,ESTRON
11/04/2022,-0.584,ESTRON
12/04/2022,-0.583,ESTRON
13/04/2022,-0.585,ESTRON
14/04/2022,-0.586,ESTRON
19/04/2022,-0.58,ESTRON
20/04/2022,-0.583,ESTRON
21/04/2022,-0.585,ESTRON
22/04/2022,-0.583,ESTRON
25/04/2022,-0.585,ESTRON
26/04/2022,-0.582,ESTRON
27/04/2022,-0.583,ESTRON
28/04/2022,-0.583,ESTRON
29/04/2022,-0.586,ESTRON
02/05/2022,-0.583,ESTRON
03/05/2022,-0.579,ESTRON
04/05/2022,-0.585,ESTRON
05/05/2022,-0.585,ESTRON
06/05/2022,-0.585,ESTRON
09/05/2022,-0.586,ESTRON
10/05/2022,-0.584,ESTRON
11/05/2022,-0.584,ESTRON
12/05/2022,-0.577,ESTRON
13/05/2022,-0.586,ESTRON
16/05/2022,-0.585,ESTRON
17/05/2022,-0.585,ESTRON
18/05/2022,-0.585,ESTRON
19/05/2022,-0.585,ESTRON
20/05/2022,-0.585,ESTRON
23/05/2022,-0.586,ESTRON
24/05/2022,-0.587,ESTRON
25/05/2022,-0.587,ESTRON
26/05/2022,-0.59,ESTRON
27/05/2022,-0.585,ESTRON
30/05/2022,-0.586,ESTRON
31/05/2022,-0.589,ESTRON
01/06/2022,-0.582,ESTRON
02/06/2022,-0.585,ESTRON
03/06/2022,-0.587,ESTRON
06/06/2022,-0.59,ESTRON
07/06/2022,-0.583,ESTRON
08/06/2022,-0.582,ESTRON
09/06/2022,-0.582,ESTRON
10/06/2022,-0.581,ESTRON
13/06/2022,-0.58,ESTRON
14/06/2022,-0.578,ESTRON
15/06/2022,-0.58,ESTRON
16/06/2022,-0.582,ESTRON
17/06/2022,-0.582,ESTRON
20/06/2022,-0.581,ESTRON
