Date,Rate,Pair
01/01/2021,1.2215,EUR/USD
04/01/2021,1.2248,EUR/USD
05/01/2021,1.2298,EUR/USD
06/01/2021,1.2327,EUR/USD
07/01/2021,1.2272,EUR/USD
08/01/2021,1.2218,EUR/USD
11/01/2021,1.2151,EUR/USD
12/01/2021,1.2207,EUR/USD
13/01/2021,1.2157,EUR/USD
14/01/2021,1.2155,EUR/USD
15/01/2021,1.2082,EUR/USD
18/01/2021,1.2077,EUR/USD
19/01/2021,1.2129,EUR/USD
20/01/2021,1.2106,EUR/USD
21/01/2021,1.2164,EUR/USD
22/01/2021,1.2171,EUR/USD
25/01/2021,1.2139,EUR/USD
26/01/2021,1.216,EUR/USD
27/01/2021,1.2111,EUR/USD
28/01/2021,1.2122,EUR/USD
29/01/2021,1.2136,EUR/USD
01/02/2021,1.206,EUR/USD
02/02/2021,1.2044,EUR/USD
03/02/2021,1.2036,EUR/USD
04/02/2021,1.1964,EUR/USD
05/02/2021,1.2046,EUR/USD
08/02/2021,1.205,EUR/USD
09/02/2021,1.2119,EUR/USD
10/02/2021,1.2118,EUR/USD
11/02/2021,1.213,EUR/USD
12/02/2021,1.212,EUR/USD
15/02/2021,1.2129,EUR/USD
16/02/2021,1.2106,EUR/USD
17/02/2021,1.2038,EUR/USD
18/02/2021,1.2092,EUR/USD
19/02/2021,1.2119,EUR/USD
22/02/2021,1.2157,EUR/USD
23/02/2021,1.215,EUR/USD
24/02/2021,1.2166,EUR/USD
25/02/2021,1.2175,EUR/USD
26/02/2021,1.2075,EUR/USD
01/03/2021,1.2049,EUR/USD
02/03/2021,1.2091,EUR/USD
03/03/2021,1.2063,EUR/USD
04/03/2021,1.1969,EUR/USD
05/03/2021,1.1915,EUR/USD
08/03/2021,1.1847,EUR/USD
09/03/2021,1.1901,EUR/USD
10/03/2021,1.1929,EUR/USD
11/03/2021,1.1986,EUR/USD
12/03/2021,1.1953,EUR/USD
15/03/2021,1.1929,EUR/USD
16/03/2021,1.1903,EUR/USD
17/03/2021,1.1979,EUR/USD
18/03/2021,1.1915,EUR/USD
19/03/2021,1.1904,EUR/USD
22/03/2021,1.1933,EUR/USD
23/03/2021,1.1849,EUR/USD
24/03/2021,1.1813,EUR/USD
25/03/2021,1.1764,EUR/USD
26/03/2021,1.1794,EUR/USD
29/03/2021,1.1765,EUR/USD
30/03/2021,1.1717,EUR/USD
31/03/2021,1.173,EUR/USD
01/04/2021,1.1777,EUR/USD
02/04/2021,1.1759,EUR/USD
05/04/2021,1.1813,EUR/USD
06/04/2021,1.1876,EUR/USD
07/04/2021,1.1868,EUR/USD
08/04/2021,1.1914,EUR/USD
09/04/2021,1.1899,EUR/USD
12/04/2021,1.1911,EUR/USD
13/04/2021,1.1948,EUR/USD
