Dates,Receive,Pay
29/07/2022,100000,25000
31/01/2023,100000,25000
31/07/2023,100000,-100100
31/01/2024,100000,-100200.1
31/07/2024,100000,-100300.3001
31/01/2025,100000,-100400.6004
31/07/2025,100000,-100501.001
30/01/2026,100000,-100601.502
31/07/2026,100000,-100702.1035
29/01/2027,100000,-100802.8056
30/07/2027,100000,-100903.6084
31/01/2028,100000,-101004.512
31/07/2028,100000,-101105.5165
31/01/2029,100000,-101206.622
31/07/2029,100000,-101307.8287
31/01/2030,100000,-101409.1365
31/07/2030,100000,-101510.5456
31/01/2031,100000,-101612.0562
31/07/2031,100000,-101713.6682
30/01/2032,100000,-101815.3819
