client_internal,date,price,currency
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/04/2019,171.601,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/04/2019,170.6578359,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/04/2019,171.446053,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/04/2019,171.2596049,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/04/2019,171.385077,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/04/2019,170.7103471,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,28/04/2019,171.1239411,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,29/04/2019,170.7574276,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/04/2019,171.3834209,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,01/05/2019,170.6206202,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,02/05/2019,171.1192023,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/05/2019,171.601,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/05/2019,171.601,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,07/05/2019,173.958,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,08/05/2019,174.582,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,09/05/2019,173.909,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/05/2019,173.017,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/05/2019,173.431,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,14/05/2019,173.92,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,15/05/2019,174.412,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,16/05/2019,174.206,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/05/2019,175.389,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/05/2019,175.493,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,21/05/2019,174.596,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,22/05/2019,176.62,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,23/05/2019,178.119,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/05/2019,178.478,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/05/2019,178.478,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,28/05/2019,179.311,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,29/05/2019,180.748,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,30/05/2019,181.275,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,31/05/2019,180.508,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,03/06/2019,180.755,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,04/06/2019,179.262,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,05/06/2019,180.636,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,06/06/2019,182.865,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,07/06/2019,183.39,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,10/06/2019,183.09,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,11/06/2019,181.834,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,12/06/2019,179.654,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,13/06/2019,180.604,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,14/06/2019,180.376,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,17/06/2019,179.71,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,18/06/2019,181.226,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,19/06/2019,180.501,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,20/06/2019,181.31,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,21/06/2019,179.641,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,24/06/2019,179.841,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,25/06/2019,179.938,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,26/06/2019,178.769,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,27/06/2019,178.474,GBP
GB00B3MYD345 UKTI 0 5/8 11/22/42,28/06/2019,177.502,GBP
