Date,Rate,Index
2022-08-01,345.2,UKRPI
2022-07-01,343.2,UKRPI
2022-06-01,340,UKRPI
2022-05-01,337.1,UKRPI
2022-04-01,334.6,UKRPI
2022-03-01,323.5,UKRPI
2022-02-01,320.2,UKRPI
2022-01-01,317.7,UKRPI
2021-12-01,317.7,UKRPI
2021-11-01,314.3,UKRPI
2021-10-01,312,UKRPI
2021-09-01,308.6,UKRPI
2021-08-01,307.4,UKRPI
2021-07-01,305.5,UKRPI
2021-06-01,304,UKRPI
2021-05-01,301.9,UKRPI
2021-04-01,301.1,UKRPI
2021-03-01,296.9,UKRPI
2021-02-01,296,UKRPI
2021-01-01,294.6,UKRPI
2020-12-01,295.4,UKRPI
2020-11-01,293.5,UKRPI
2020-10-01,294.3,UKRPI
2020-09-01,294.3,UKRPI
2020-08-01,293.3,UKRPI
2020-07-01,294.2,UKRPI
2020-06-01,292.7,UKRPI
2020-05-01,292.2,UKRPI
2020-04-01,292.6,UKRPI
2020-03-01,292.6,UKRPI
2020-02-01,292,UKRPI
2020-01-01,290.6,UKRPI
2019-12-01,291.9,UKRPI
2019-11-01,291,UKRPI
2019-10-01,290.4,UKRPI
2019-09-01,291,UKRPI
2019-08-01,291.7,UKRPI
2019-07-01,289.5,UKRPI
2019-06-01,289.6,UKRPI
2019-05-01,289.2,UKRPI
2019-04-01,288.2,UKRPI
2019-03-01,285.1,UKRPI
2019-02-01,285,UKRPI
2019-01-01,283,UKRPI
2018-12-01,285.6,UKRPI
2018-11-01,284.6,UKRPI
2018-10-01,284.5,UKRPI
2018-09-01,284.1,UKRPI
2018-08-01,284.2,UKRPI
2018-07-01,281.7,UKRPI
2018-06-01,281.5,UKRPI
2018-05-01,280.7,UKRPI
2018-04-01,279.7,UKRPI
2018-03-01,278.3,UKRPI
2018-02-01,278.1,UKRPI
2018-01-01,276,UKRPI
2017-12-01,278.1,UKRPI
2017-11-01,275.8,UKRPI
2017-10-01,275.3,UKRPI
2017-09-01,275.1,UKRPI
2017-08-01,274.7,UKRPI
2017-07-01,272.9,UKRPI
2017-06-01,272.3,UKRPI
2017-05-01,271.7,UKRPI
2017-04-01,270.6,UKRPI
2017-03-01,269.3,UKRPI
2017-02-01,268.4,UKRPI
2017-01-01,265.5,UKRPI
2016-12-01,267.1,UKRPI
2016-11-01,265.5,UKRPI
2016-10-01,264.8,UKRPI
2016-09-01,264.9,UKRPI
2016-08-01,264.4,UKRPI
2016-07-01,263.4,UKRPI
2016-06-01,263.1,UKRPI
2016-05-01,262.1,UKRPI
2016-04-01,261.4,UKRPI
2016-03-01,261.1,UKRPI
2016-02-01,260,UKRPI
2016-01-01,258.8,UKRPI
2015-12-01,260.6,UKRPI
2015-11-01,259.8,UKRPI
2015-10-01,259.5,UKRPI
2015-09-01,259.6,UKRPI
2015-08-01,259.8,UKRPI
2015-07-01,258.6,UKRPI
2015-06-01,258.9,UKRPI
2015-05-01,258.5,UKRPI
2015-04-01,258,UKRPI
2015-03-01,257.1,UKRPI
2015-02-01,256.7,UKRPI
2015-01-01,255.4,UKRPI
2014-12-01,257.5,UKRPI
2014-11-01,257.1,UKRPI
2014-10-01,257.7,UKRPI
2014-09-01,257.6,UKRPI
2014-08-01,257,UKRPI
2014-07-01,256,UKRPI
2014-06-01,256.3,UKRPI
2014-05-01,255.9,UKRPI
2014-04-01,255.7,UKRPI
2014-03-01,254.8,UKRPI
2014-02-01,254.2,UKRPI
2014-01-01,252.6,UKRPI
2013-12-01,253.4,UKRPI
2013-11-01,252.1,UKRPI
2013-10-01,251.9,UKRPI
2013-09-01,251.9,UKRPI
2013-08-01,251,UKRPI
2013-07-01,249.7,UKRPI
2013-06-01,249.7,UKRPI
2013-05-01,250,UKRPI
2013-04-01,249.5,UKRPI
2013-03-01,248.7,UKRPI
2013-02-01,247.6,UKRPI
2013-01-01,245.8,UKRPI
2012-12-01,246.8,UKRPI
2012-11-01,245.6,UKRPI
2012-10-01,245.6,UKRPI
2012-09-01,244.2,UKRPI
2012-08-01,243,UKRPI
2012-07-01,242.1,UKRPI
2012-06-01,241.8,UKRPI
2012-05-01,242.4,UKRPI
2012-04-01,242.5,UKRPI
2012-03-01,240.8,UKRPI
2012-02-01,239.9,UKRPI
2012-01-01,238,UKRPI
2011-12-01,239.4,UKRPI
2011-11-01,238.5,UKRPI
2011-10-01,238,UKRPI
2011-09-01,237.9,UKRPI
2011-08-01,236.1,UKRPI
2011-07-01,234.7,UKRPI
2011-06-01,235.2,UKRPI
2011-05-01,235.2,UKRPI
2011-04-01,234.4,UKRPI
2011-03-01,232.5,UKRPI
2011-02-01,231.3,UKRPI
2011-01-01,229,UKRPI
2010-12-01,228.4,UKRPI
2010-11-01,226.8,UKRPI
2010-10-01,225.8,UKRPI
2010-09-01,225.3,UKRPI
2010-08-01,224.5,UKRPI
2010-07-01,223.6,UKRPI
2010-06-01,224.1,UKRPI
2010-05-01,223.6,UKRPI
2010-04-01,222.8,UKRPI
2010-03-01,220.7,UKRPI
2010-02-01,219.2,UKRPI
2010-01-01,217.9,UKRPI
2009-12-01,218,UKRPI
2009-11-01,216.6,UKRPI
2009-10-01,216,UKRPI
2009-09-01,215.3,UKRPI
2009-08-01,214.4,UKRPI
2009-07-01,213.4,UKRPI
2009-06-01,213.4,UKRPI
