ClientInternal,Name,ISIN,LEI
Instrument1,BAE Systems Rg,GB0002634946,8SVCSVKSGDWMW2QHOH83
Instrument2,Phoenix Grp Rg,GB00BGXQNP29,2138001P49OLAEU33T68
Instrument3,WPP Rg,JE00B8KF9B49,549300LSGBXPYHXGDT93
Instrument4,United Utilities Rg,GB00B39J2M42,2138002IEYQAOC88ZJ59
Instrument5,Smith & Nephew Rg,GB0009223206,213800ZTMDN8S67S1H61
Instrument6,M&G Rg,GB00BKFB1C65,254900TWUJUQ44TQJY84
Instrument7,DS Smith Rg,GB0008220112,39RSBE4RCI4M15BLWH36
Instrument8,Aviva Rg,GB0002162385,YF0Y5B0IB8SM0ZFG9G81
Instrument9,Halma Rg,GB0004052071,2138007FRGLUR9KGBT40
Instrument10,Intl. Cons. Air Rg,ES0177542018,959800TZHQRUSH1ESL13
Instrument11,ICG Rg,GB00BYT1DJ19,549300OGASR5WRKJ8R68
Instrument12,Flutter Entmt Rg,IE00BWT6H894,635400EG4YIJLJMZJ782
Instrument13,Tesco Rg,GB00BLGZ9862,2138002P5RNKC5W2JZ46
Instrument14,BP Rg,GB0007980591,213800LH1BZH3DI6G760
Instrument15,Anglo American Rg,GB00B1XZS820,549300S9XF92D1X8ME43
Instrument16,Burberry Group Rg,GB0031743007,213800PE1KEFCNFR1R50
Instrument17,Barclays Rg,GB0031348658,213800LBQA1Y9L22JB70
Instrument18,3I Group Rg,GB00B1YW4409,35GDVHRBMFE7NWATNM84
Instrument19,Segro (REIT) Rg,GB00B5ZN1N88,213800XC35KGM9NFC641
Instrument20,Standard Charter Rg,GB0004082847,U4LOSYZ7YG4W3S5F2G91
Instrument21,Entain Rg,IM00B5VQMV65,213800GNI3K45LQR8L28
Instrument22,Abrdn Rg,GB00BF8Q6K64,0TMBS544NMO7GLCE7H90
Instrument23,Antofagasta Rg,GB0000456144,213800MY6QVH4FVLD628
Instrument24,Royal Dutch Shell-B,GB00B03MM408,21380068P1DRHMJ8KU70
Instrument25,B&M EurValRet Rg,LU1072616219,213800UK7ZRLY2K1X530
Instrument26,Whitbread Rg,GB00B1KJJ408,21380099VMZKRMN3EX36
Instrument27,Severn Trent Rg,GB00B1FH8J72,213800RPBXRETY4A4C59
Instrument28,Rentokil Initial Rg,GB00B082RF11,549300VN4WV7Z6T14K68
Instrument29,Prudential Rg,GB0007099541,5493001Z3ZE83NGK8Y12
Instrument30,LSE Group Rg,GB00B0SWJX34,213800QAUUUP6I445N30
Instrument31,Rolls-Royce Hldg Rg,GB00B63H8491,213800EC7997ZBLZJH69
Instrument32,Intertek Group Rg,GB0031638363,2138003GAT25WW1RN369
Instrument33,ITV Rg,GB0033986497,ZLECI7ED2QMWFGYCXZ59
Instrument34,RELX Rg,GB00B2B0DG97,549300WSX3VBUFFJOO66
Instrument35,Meggitt Rg,GB0005758098,YMFO3TKB4UAWQTDZJJ31
Instrument36,BHP Grp Rg,GB00BH0P3Z91,549300C116EOWV835768
Instrument37,DCC Rg,IE0002424939,213800UPS1QEE4TD3T45
Instrument38,Experian Rg,GB00B19NLV48,635400RXXHHYT1JTSZ26
Instrument39,Smiths Group Rg,GB00B1WY2338,213800MJL6IPZS3ASA11
Instrument40,Associat Brit Fo Rg,GB0006731235,GBQKSY6W7G0OHCQ8OQ72
Instrument41,Ashtead Group Rg,GB0000536739,2138007UTBN8X9K1A235
Instrument42,Johnson Matthey Rg,GB00BZ4BQC70,2138001AVBSD1HSC6Z10
Instrument43,SSE Rg,GB0007908733,549300KI75VYLLMSK856
Instrument44,Bunzl Rg,GB00B0744B38,213800Q1Q9DV4L78UM09
Instrument45,Barratt Devlop Rg,GB0000811801,2138006R85VEOF5YNK29
Instrument46,Berkeley Grp Rg,GB00BLJNXL82,2138009OQSSLVVHQAL78
Instrument47,Intercont Hotels Rg,GB00BHJYC057,2138007ZFQYRUSLU3J98
Instrument48,AstraZeneca Rg,GB0009895292,PY6ZZQWO2IZFZC3IOL08
Instrument49,St. James's Rg,GB0007669376,213800M993ICXOMBCP87
Instrument50,Admiral Group Rg,GB00B02J6398,213800FGVM7Z9EJB2685
Instrument51,Melrose Ind Rg,GB00BNR5MZ78,213800RGNXXZY2M7TR85
Instrument52,GlaxoSmithKline Rg,GB0009252882,5493000HZTVUYLO1D793
Instrument53,Natl Grid Rg,GB00BDR05C01,8R95QZMKZLJX5Q2XR704
Instrument54,Hargreaves Lans Rg,GB00B1VZ0M25,2138008ZCE93ZDSESG90
Instrument55,Imperial Brands Rg,GB0004544929,549300DFVPOB67JL3A42
Instrument56,JD Sports Fsn Rg,GB00BYX91H57,213800HROV6Y9MUU8375
Instrument57,Brit Amer Tobacc Rg,GB0002875804,213800FKA5MF17RJKT63
Instrument58,Lloyds Banking G Rg,GB0008706128,549300PPXHEU2JF0AM85
Instrument59,Sainsbury Rg,GB00B019KW72,213800VGZAAJIKJ9Y484
Instrument60,Polymetal Intl Rg,JE00B6T5S470,213800JKJ5HJWYS4GR61
Instrument61,Croda Intl Rg,GB00BJFFLV09,2138004WCNBFJEEOXV26
Instrument62,Auto Trader Gr Rg,GB00BVYVFW23,213800QLK9BZILB1DI86
Instrument63,Next Rg,GB0032089863,213800WQD8ECPZP9PH98
Instrument64,Z DEC21,GB00J92FML25,549300UF4R84F48NCH34
Instrument65,Avast Rg,GB00BDD85M81,213800IR8G8LCZH4BO27
Instrument66,Land Sec REIT Rg,GB00BYW0PQ60,213800V8IAVKS37D6B88
Instrument67,Rightmove Rg,GB00BGDT3G23,2138001JXGCFKBXYB828
Instrument68,Aveva Group Rg,GB00BBG9VN75,213800XHATUM2LFMKG16
Instrument69,Unilever Rg,GB00B10RZP78,549300MKFYEKVRWML317
Instrument70,Hikma Pharm Rg,GB00B0LCW083,549300BNS685UXH4JI75
Instrument71,Compass Group Rg,GB00BD6K4575,2138008M6MH9OZ6U2T68
Instrument72,Pearson Rg,GB0006776081,2138004JBXWWJKIURC57
Instrument74,Informa Rg,GB00BMJ6DW54,5493006VM2LKUPSEDU20
Instrument75,Kingfisher Rg,GB0033195214,213800KBMEV7I92FY281
Instrument76,Royal Dutch Shell-A,GB00B03MLX29,21380068P1DRHMJ8KU70
Instrument77,NatWest Grp Rg,GB00B7T77214,2138005O9XJIJN4JPN90
Instrument78,Spirax-Sarco Eng Rg,GB00BWFGQN14,213800WFVZQMHOZP2W17
Instrument79,Coca-Cola HBC N,CH0198251305,549300EFP3TNG7JGVE49
Instrument80,CRH PLC Rg,IE0001827041,549300MIDJNNTH068E74
Instrument81,Persimmon Plc Rg,GB0006825383,213800XI72Y57UWN6F31
Instrument82,Sage Grp Rg,GB00B8C3BL03,2138005RN5XYLTF8G138
Instrument83,Smurfit Kappa Rg,IE00B1RR8406,635400CPLP8H5ITDVT56
Instrument84,Vodafone Group Rg,GB00BH4HKS39,213800TB53ELEUKM7Q61
Instrument85,Brit Land Co REI Rg,GB0001367019,RV5B68J2GV3QGMRPW209
Instrument86,Legal & General Rg,GB0005603997,213800JH9QQWHLO99821
Instrument87,Royal Mail Rg,GB00BDVZYZ77,213800TCZZU84G8Z2M70
Instrument88,Scott Mtg Inv Trst,GB00BLDYK618,213800G37DCS3Q9IJM38
Instrument89,Persh Squa USD-Pub-,GG00BPFJTF46,U7LC4KOKCTZ0YWGI2G56
Instrument90,Diageo Rg,GB0002374006,213800ZVIELEA55JMJ32
Instrument91,HSBC Hldg Rg,GB0005405286,MLU0ZO3ML4LN2LL2TL39
Instrument92,Glencore Rg,JE00B4T3BW64,2138002658CPO9NBH955
Instrument93,Ocado Group Rg,GB00B3MBS747,213800LO8F61YB8MBC74
Instrument94,EVRAZ Rg,GB00B71N6K86,5493005B7DAN39RXLK23
Instrument95,Fresnillo Rg,GB00B2QPKJ12,549300JXWH1UV5J0XV81
Instrument96,Rio Tinto Rg,GB0007188757,213800YOEO5OQ72G2R82
Instrument97,Mondi Rg,GB00B1CRLC47,213800LOZA69QFDC9N34
Instrument98,Schroders Rg,GB0002405495,2138001YYBULX5SZ2H24
Instrument99,Reckitt Benck Gr Rg,GB00B24CGK77,5493003JFSMOJG48V108
Instrument100,BT Group Rg,GB0030913577,213800LRO7NS5CYQMN21
Instrument101,Morrison Supermk Rg,GB0006043169,213800IN6LSRGTZSOS29
Instrument102,Taylor Wimpey Rg,GB0008782301,21380089BTRXTD8S3R66
