Name,Custom Legal Entity Identifier ,Legal Entity Identifier,Total DEI Score,Total Gender Score
IMPERIAL BRANDS PLC,944941,549300DFVPOB67JL3A42,40.62,35.49
PHOENIX GROUP HOLDINGS PLC,1567007,2138001P49OLAEU33T68,33.2,25.58
ADMIRAL GROUP PLC,312839,213800FGVM7Z9EJB2685,43.23,69.07
ANGLO AMERICAN PLC,1190816,549300S9XF92D1X8ME43,42.74,46.55
ANTOFAGASTA PLC,1221352,213800MY6QVH4FVLD628,31.46,19.47
ASHTEAD GROUP PUBLIC LIMITED COMPANY,1108503,2138007UTBN8X9K1A235,31.94,29.29
ASSOCIATED BRITISH FOODS PLC,1548069,GBQKSY6W7G0OHCQ8OQ72,30.31,35.84
ASTRAZENECA PLC,1329415,PY6ZZQWO2IZFZC3IOL08,49.11,61.07
AUTO TRADER GROUP PLC,42145,213800QLK9BZILB1DI86,43.83,60.06
AVEVA GROUP PLC,520672,213800XHATUM2LFMKG16,40.11,50.35
AVIVA PLC,1097168,YF0Y5B0IB8SM0ZFG9G81,41.63,57.81
BAE SYSTEMS PLC,132942,8SVCSVKSGDWMW2QHOH83,39.03,34.33
BARCLAYS PLC,970628,213800LBQA1Y9L22JB70,42.01,49.82
BARRATT DEVELOPMENTS P L C,1333501,2138006R85VEOF5YNK29,37.44,41.08
BHP GROUP PLC,1685776,549300C116EOWV835768,41.53,50.05
BP PLC,1015609,213800LH1BZH3DI6G760,46.96,58.75
BRITISH AMERICAN TOBACCO P.L.C.,290003,213800FKA5MF17RJKT63,39.07,34.01
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),1354746,RV5B68J2GV3QGMRPW209,37.63,49.12
BT GROUP PLC,280994,213800LRO7NS5CYQMN21,38.41,39.8
BUNZL PUBLIC LIMITED COMPANY,1219275,213800Q1Q9DV4L78UM09,43.06,44.82
BURBERRY GROUP PLC,1234613,213800PE1KEFCNFR1R50,47.6,55.41
Coca-Cola HBC AG,1375711,549300EFP3TNG7JGVE49,34.57,34.13
COMPASS GROUP PLC,1321106,2138008M6MH9OZ6U2T68,41.24,50.7
CRH PUBLIC LIMITED COMPANY,882277,549300MIDJNNTH068E74,32.64,28.71
CRODA INTERNATIONAL PUBLIC LIMITED COMPANY,1108731,2138004WCNBFJEEOXV26,38.66,27.56
DCC PUBLIC LIMITED COMPANY,986682,213800UPS1QEE4TD3T45,31.5,35.22
DIAGEO PLC,1434115,213800ZVIELEA55JMJ32,39.77,50.9
DS SMITH PLC,90757,39RSBE4RCI4M15BLWH36,24.18,19.38
ENTAIN PLC,1741440,213800GNI3K45LQR8L28,38.27,58.27
EVRAZ PLC,198233,5493005B7DAN39RXLK23,35.16,24.79
Flutter Entertainment Public Limited Company,1426828,635400EG4YIJLJMZJ782,33.04,16.88
GLAXOSMITHKLINE PLC,1031242,5493000HZTVUYLO1D793,44.15,56.71
HALMA PUBLIC LIMITED COMPANY,628845,2138007FRGLUR9KGBT40,48.77,62.36
HARGREAVES LANSDOWN PLC,451189,2138008ZCE93ZDSESG90,26.4,27.12
HIKMA PHARMACEUTICALS PUBLIC LIMITED COMPANY,666744,549300BNS685UXH4JI75,37.28,23.39
HSBC HOLDINGS PLC,1095091,MLU0ZO3ML4LN2LL2TL39,29.06,44.48
INFORMA PLC,836136,5493006VM2LKUPSEDU20,41.99,47.23
INTERCONTINENTAL HOTELS GROUP PLC,868169,2138007ZFQYRUSLU3J98,41.7,37.76
INTERMEDIATE CAPITAL GROUP PLC,1378434,549300OGASR5WRKJ8R68,33.64,29.18
INTERTEK GROUP PLC,1558965,2138003GAT25WW1RN369,29.41,22.27
J SAINSBURY PLC,515416,213800VGZAAJIKJ9Y484,37.08,44.67
JOHNSON MATTHEY PLC,1557939,2138001AVBSD1HSC6Z10,37.45,56.66
KINGFISHER PLC,542900,213800KBMEV7I92FY281,30.99,39.67
LAND SECURITIES GROUP PLC,116391,213800V8IAVKS37D6B88,45.16,34.55
