Name,Legal Entity Identifier,Total Race/Ethnicity Score
IMPERIAL BRANDS PLC,549300DFVPOB67JL3A42,5.55
PHOENIX GROUP HOLDINGS PLC,2138001P49OLAEU33T68,1.88
ADMIRAL GROUP PLC,213800FGVM7Z9EJB2685,17.7
ANGLO AMERICAN PLC,549300S9XF92D1X8ME43,21.08
ANTOFAGASTA PLC,213800MY6QVH4FVLD628,19.64
ASHTEAD GROUP PUBLIC LIMITED COMPANY,2138007UTBN8X9K1A235,18.46
ASSOCIATED BRITISH FOODS PLC,GBQKSY6W7G0OHCQ8OQ72,19.03
ASTRAZENECA PLC,PY6ZZQWO2IZFZC3IOL08,20.53
AUTO TRADER GROUP PLC,213800QLK9BZILB1DI86,18.46
AVEVA GROUP PLC,213800XHATUM2LFMKG16,18.81
AVIVA PLC,YF0Y5B0IB8SM0ZFG9G81,17.97
BAE SYSTEMS PLC,8SVCSVKSGDWMW2QHOH83,18.92
BARCLAYS PLC,213800LBQA1Y9L22JB70,26.72
BARRATT DEVELOPMENTS P L C,2138006R85VEOF5YNK29,17.71
BHP GROUP PLC,549300C116EOWV835768,1.88
BP PLC,213800LH1BZH3DI6G760,32.74
BRITISH AMERICAN TOBACCO P.L.C.,213800FKA5MF17RJKT63,20.94
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),RV5B68J2GV3QGMRPW209,16.8
BT GROUP PLC,213800LRO7NS5CYQMN21,24.7
BUNZL PUBLIC LIMITED COMPANY,213800Q1Q9DV4L78UM09,18.46
BURBERRY GROUP PLC,213800PE1KEFCNFR1R50,18.46
Coca-Cola HBC AG,549300EFP3TNG7JGVE49,18.92
COMPASS GROUP PLC,2138008M6MH9OZ6U2T68,18.15
CRH PUBLIC LIMITED COMPANY,549300MIDJNNTH068E74,10.35
CRODA INTERNATIONAL PUBLIC LIMITED COMPANY,2138004WCNBFJEEOXV26,17.56
DCC PUBLIC LIMITED COMPANY,213800UPS1QEE4TD3T45,1.88
DIAGEO PLC,213800ZVIELEA55JMJ32,19.26
DS SMITH PLC,39RSBE4RCI4M15BLWH36,16.8
ENTAIN PLC,213800GNI3K45LQR8L28,1.88
EVRAZ PLC,5493005B7DAN39RXLK23,18.46
Flutter Entertainment Public Limited Company,635400EG4YIJLJMZJ782,18.46
GLAXOSMITHKLINE PLC,5493000HZTVUYLO1D793,26.18
HALMA PUBLIC LIMITED COMPANY,2138007FRGLUR9KGBT40,18.47
HARGREAVES LANSDOWN PLC,2138008ZCE93ZDSESG90,18.26
HIKMA PHARMACEUTICALS PUBLIC LIMITED COMPANY,549300BNS685UXH4JI75,18.46
HSBC HOLDINGS PLC,MLU0ZO3ML4LN2LL2TL39,1.88
INFORMA PLC,5493006VM2LKUPSEDU20,17.56
INTERCONTINENTAL HOTELS GROUP PLC,2138007ZFQYRUSLU3J98,19.2
INTERMEDIATE CAPITAL GROUP PLC,549300OGASR5WRKJ8R68,18.46
INTERTEK GROUP PLC,2138003GAT25WW1RN369,18.46
J SAINSBURY PLC,213800VGZAAJIKJ9Y484,23.94
JOHNSON MATTHEY PLC,2138001AVBSD1HSC6Z10,18.46
KINGFISHER PLC,213800KBMEV7I92FY281,17.69
LAND SECURITIES GROUP PLC,213800V8IAVKS37D6B88,16.8
LEGAL & GENERAL GROUP PLC,213800JH9QQWHLO99821,17.71
LLOYDS BANKING GROUP PLC,549300PPXHEU2JF0AM85,32.74
LONDON STOCK EXCHANGE GROUP PLC,213800QAUUUP6I445N30,33.32
M&G PLC,254900TWUJUQ44TQJY84,17.69
MELROSE INDUSTRIES PLC,213800RGNXXZY2M7TR85,19.58
MONDI PLC,213800LOZA69QFDC9N34,1.88
NATIONAL GRID PLC,8R95QZMKZLJX5Q2XR704,18.07
NATWEST GROUP PLC,2138005O9XJIJN4JPN90,16.8
NEXT PLC,213800WQD8ECPZP9PH98,17.56
OCADO GROUP PLC,213800LO8F61YB8MBC74,17.56
PEARSON PLC,2138004JBXWWJKIURC57,32.76
PERSIMMON PUBLIC LIMITED COMPANY,213800XI72Y57UWN6F31,16.8
Prudential Public Limited Company,5493001Z3ZE83NGK8Y12,19.21
RECKITT BENCKISER GROUP PLC,5493003JFSMOJG48V108,19.94
RELX PLC,549300WSX3VBUFFJOO66,1.88
RENTOKIL INITIAL PLC,549300VN4WV7Z6T14K68,17.56
Rio Tinto Group,213800YOEO5OQ72G2R82,17.56
ROLLS-ROYCE HOLDINGS PLC,213800EC7997ZBLZJH69,18.46
SCHRODERS PLC,2138001YYBULX5SZ2H24,18.46
SEGRO PUBLIC LIMITED COMPANY,213800XC35KGM9NFC641,19.39
SEVERN TRENT PLC,213800RPBXRETY4A4C59,17.56
SMITH & NEPHEW PLC,213800ZTMDN8S67S1H61,20.16
SMITHS GROUP PLC,213800MJL6IPZS3ASA11,17.56
Smurfit Kappa Group Public Limited Company,635400CPLP8H5ITDVT56,1.88
SPIRAX-SARCO ENGINEERING PLC,213800WFVZQMHOZP2W17,18.69
SSE PLC,549300KI75VYLLMSK856,17.56
ST. JAMES'S PLACE PLC,213800M993ICXOMBCP87,17.69
STANDARD CHARTERED PLC,U4LOSYZ7YG4W3S5F2G91,18.81
STANDARD LIFE ABERDEEN PLC,0TMBS544NMO7GLCE7H90,17.56
TAYLOR WIMPEY PLC,21380089BTRXTD8S3R66,17.56
TESCO PLC,2138002P5RNKC5W2JZ46,22.81
THE BERKELEY GROUP HOLDINGS PLC,2138009OQSSLVVHQAL78,18.92
THE SAGE GROUP PLC.,2138005RN5XYLTF8G138,17.56
UNILEVER PLC,549300MKFYEKVRWML317,20.46
UNITED UTILITIES GROUP PLC,2138002IEYQAOC88ZJ59,18.69
WHITBREAD PLC,21380099VMZKRMN3EX36,18.71
3I GROUP PLC,35GDVHRBMFE7NWATNM84,1.88
AVAST PLC,213800IR8G8LCZH4BO27,18.46
FRESNILLO PLC,549300JXWH1UV5J0XV81,18.46
ITV PLC,ZLECI7ED2QMWFGYCXZ59,39.38
JD SPORTS FASHION PLC,213800HROV6Y9MUU8375,16.8
MEGGITT PLC,YMFO3TKB4UAWQTDZJJ31,18.46
RIGHTMOVE PLC,2138001JXGCFKBXYB828,18.76
ROYAL DUTCH SHELL PLC,21380068P1DRHMJ8KU70,18.46
VODAFONE GROUP PUBLIC LIMITED COMPANY,213800TB53ELEUKM7Q61,18.46
WM MORRISON SUPERMARKETS P L C,213800IN6LSRGTZSOS29,16.8
