entityName,LEI
BAE Systems PLC,8SVCSVKSGDWMW2QHOH83
Phoenix Group Holdings PLC,2138001P49OLAEU33T68
WPP PLC,549300LSGBXPYHXGDT93
United Utilities Group PLC,2138002IEYQAOC88ZJ59
Smith & Nephew PLC,213800ZTMDN8S67S1H61
M&G PLC,254900TWUJUQ44TQJY84
DS Smith PLC,39RSBE4RCI4M15BLWH36
Aviva PLC,YF0Y5B0IB8SM0ZFG9G81
Halma PLC,2138007FRGLUR9KGBT40
International Consolidated Airlines Group SA,959800TZHQRUSH1ESL13
Intermediate Capital Group PLC,549300OGASR5WRKJ8R68
Flutter Entertainment PLC,635400EG4YIJLJMZJ782
Tesco PLC,2138002P5RNKC5W2JZ46
BP PLC,213800LH1BZH3DI6G760
Anglo American PLC,549300S9XF92D1X8ME43
Burberry Group PLC,213800PE1KEFCNFR1R50
Barclays PLC,213800LBQA1Y9L22JB70
3i Group PLC,35GDVHRBMFE7NWATNM84
Segro PLC (REIT),213800XC35KGM9NFC641
Standard Chartered PLC,U4LOSYZ7YG4W3S5F2G91
Entain PLC,213800GNI3K45LQR8L28
Abrdn PLC,0TMBS544NMO7GLCE7H90
Antofagasta PLC,213800MY6QVH4FVLD628
Royal Dutch Shell PLC,21380068P1DRHMJ8KU70
B&M European Value Retail SA.,213800UK7ZRLY2K1X530
Whitbread PLC,21380099VMZKRMN3EX36
Severn Trent PLC,213800RPBXRETY4A4C59
Rentokil Initial Plc,549300VN4WV7Z6T14K68
Prudential PLC,5493001Z3ZE83NGK8Y12
London Stock Exchange Group PLC,213800QAUUUP6I445N30
Rolls-Royce Holdings PLC,213800EC7997ZBLZJH69
Intertek Group PLC,2138003GAT25WW1RN369
ITV PLC,ZLECI7ED2QMWFGYCXZ59
RELX PLC,549300WSX3VBUFFJOO66
Meggitt PLC,YMFO3TKB4UAWQTDZJJ31
BHP Group PLC,549300C116EOWV835768
DCC PLC,213800UPS1QEE4TD3T45
Experian PLC,635400RXXHHYT1JTSZ26
Smiths Group PLC,213800MJL6IPZS3ASA11
Associated British Foods PLC,GBQKSY6W7G0OHCQ8OQ72
Ashtead Group PLC,2138007UTBN8X9K1A235
Johnson Matthey PLC,2138001AVBSD1HSC6Z10
SSE PLC,549300KI75VYLLMSK856
Bunzl PLC,213800Q1Q9DV4L78UM09
Barratt Developments PLC,2138006R85VEOF5YNK29
The Berkeley Group Holdings PLC,2138009OQSSLVVHQAL78
InterContinental Hotels Group PLC,2138007ZFQYRUSLU3J98
AstraZeneca PLC,PY6ZZQWO2IZFZC3IOL08
St. James's Place PLC,213800M993ICXOMBCP87
Admiral Group PLC,213800FGVM7Z9EJB2685
Melrose Industries PLC,213800RGNXXZY2M7TR85
GlaxoSmithKline PLC,5493000HZTVUYLO1D793
National Grid PLC,8R95QZMKZLJX5Q2XR704
Hargreaves Lansdown PLC,2138008ZCE93ZDSESG90
Imperial Brands PLC,549300DFVPOB67JL3A42
JD Sports Fashion PLC,213800HROV6Y9MUU8375
British American Tobacco PLC,213800FKA5MF17RJKT63
Lloyds Banking Group PLC,549300PPXHEU2JF0AM85
J.Sainsbury PLC,213800VGZAAJIKJ9Y484
Polymetal International PLC,213800JKJ5HJWYS4GR61
Croda International PLC,2138004WCNBFJEEOXV26
Auto Trader Group PLC,213800QLK9BZILB1DI86
Next PLC,213800WQD8ECPZP9PH98
ICE Futures Europe,549300UF4R84F48NCH34
Avast PLC,213800IR8G8LCZH4BO27
Land Securities Group PLC R.E.I.T,213800V8IAVKS37D6B88
Rightmove PLC,2138001JXGCFKBXYB828
Aveva Group PLC,213800XHATUM2LFMKG16
Unilever PLC,549300MKFYEKVRWML317
Hikma Pharmaceuticals PLC,549300BNS685UXH4JI75
Compass Group PLC,2138008M6MH9OZ6U2T68
Pearson PLC,2138004JBXWWJKIURC57
Ferguson PLC,213800DU1LGY3R2S2X42
Informa PLC,5493006VM2LKUPSEDU20
Kingfisher PLC,213800KBMEV7I92FY281
Royal Dutch Shell PLC,21380068P1DRHMJ8KU70
NatWest Group PLC,2138005O9XJIJN4JPN90
Spirax-Sarco Engineering PLC,213800WFVZQMHOZP2W17
Coca-Cola HBC Ltd,549300EFP3TNG7JGVE49
CRH PLC,549300MIDJNNTH068E74
Persimmon PLC,213800XI72Y57UWN6F31
Sage Group PLC,2138005RN5XYLTF8G138
Smurfit Kappa Group PLC,635400CPLP8H5ITDVT56
Vodafone Group PLC,213800TB53ELEUKM7Q61
British Land Company PLC,RV5B68J2GV3QGMRPW209
Legal & General Group PLC,213800JH9QQWHLO99821
Royal Mail PLC,213800TCZZU84G8Z2M70
Scottish Mortgage Investment Trust Plc,213800G37DCS3Q9IJM38
Pershing Square Holdings Ltd,U7LC4KOKCTZ0YWGI2G56
Diageo PLC,213800ZVIELEA55JMJ32
HSBC Holdings PLC,MLU0ZO3ML4LN2LL2TL39
Glencore PLC,2138002658CPO9NBH955
Ocado Group PLC,213800LO8F61YB8MBC74
EVRAZ PLC,5493005B7DAN39RXLK23
Fresnillo PLC,549300JXWH1UV5J0XV81
Rio Tinto PLC,213800YOEO5OQ72G2R82
Mondi PLC,213800LOZA69QFDC9N34
Schroders PLC,2138001YYBULX5SZ2H24
Reckitt Benckiser Group Plc,5493003JFSMOJG48V108
BT Group PLC,213800LRO7NS5CYQMN21
Wm Morrison Supermarkets PLC,213800IN6LSRGTZSOS29
Taylor Wimpey PLC,21380089BTRXTD8S3R66
