client_id,settlement_date,total_consideration,currency,pay_receive
LON343239,01/02/2022,223200,GBP,Pay
SYD241232,01/02/2022,199950,GBP,Pay
LON343239,01/03/2022,201600,GBP,Pay
SYD241232,01/03/2022,180600,GBP,Pay
LON343239,01/04/2022,223200,GBP,Pay
SYD241232,01/04/2022,199950,GBP,Pay
LON343239,01/05/2022,216000,GBP,Pay
SYD241232,01/05/2022,193500,GBP,Pay
LON343239,01/06/2022,223200,GBP,Pay
SYD241232,01/06/2022,199950,GBP,Pay
LON343239,01/07/2022,216000,GBP,Pay
SYD241232,01/07/2022,193500,GBP,Pay
LON343239,01/08/2022,216000,GBP,Pay
SYD241232,01/08/2022,193500,GBP,Pay
LON343239,01/09/2022,216000,GBP,Pay
SYD241232,01/09/2022,193500,GBP,Pay
LON343239,01/10/2022,216000,GBP,Pay
SYD241232,01/10/2022,193500,GBP,Pay
LON343239,01/11/2022,216000,GBP,Pay
SYD241232,01/11/2022,193500,GBP,Pay
LON343239,01/12/2022,216000,GBP,Pay
SYD241232,01/12/2022,193500,GBP,Pay
LON343239,01/01/2023,216000,GBP,Pay
SYD241232,01/01/2023,193500,GBP,Pay
LON343239,01/02/2023,223200,GBP,Pay
SYD241232,01/02/2023,199950,GBP,Pay
LON343239,01/03/2023,201600,GBP,Pay
SYD241232,01/03/2023,180600,GBP,Pay
LON343239,01/04/2023,223200,GBP,Pay
SYD241232,01/04/2023,199950,GBP,Pay
LON343239,01/05/2023,216000,GBP,Pay
SYD241232,01/05/2023,193500,GBP,Pay
LON343239,01/06/2023,223200,GBP,Pay
SYD241232,01/06/2023,199950,GBP,Pay
LON343239,01/07/2023,216000,GBP,Pay
SYD241232,01/07/2023,193500,GBP,Pay
LON343239,01/08/2023,216000,GBP,Pay
SYD241232,01/08/2023,193500,GBP,Pay
LON343239,01/09/2023,216000,GBP,Pay
SYD241232,01/09/2023,193500,GBP,Pay
LON343239,01/10/2023,216000,GBP,Pay
SYD241232,01/10/2023,193500,GBP,Pay
LON343239,01/11/2023,216000,GBP,Pay
SYD241232,01/11/2023,193500,GBP,Pay
LON343239,01/12/2023,216000,GBP,Pay
SYD241232,01/12/2023,193500,GBP,Pay
