investor,txn_id,type,client_id,trade_date,settlement_date,quantity,price,total_consideration,currency,portfolio,holding_class,expense_type
Investor 1,tx029,FundsIn,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,10,1,10,GBP,generalPartnership,Management Fee,Rebate
Investor 2,tx030,FundsIn,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,15,1,15,GBP,generalPartnership,Management Fee,Rebate
Investor 3,tx031,FundsIn,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,80,1,80,GBP,generalPartnership,Management Fee,Rebate
Investor 1,tx032,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"1,250.00",1,"1,250.00",GBP,generalPartnership,Partnership Expense,"Accounting, Administration & IT"
Investor 2,tx033,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"1,000.00",1,"1,000.00",GBP,generalPartnership,Partnership Expense,"Accounting, Administration & IT"
Investor 3,tx034,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"1,600.00",1,"1,600.00",GBP,generalPartnership,Partnership Expense,"Accounting, Administration & IT"
Investor 1,tx035,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"2,000.00",1,"2,000.00",GBP,generalPartnership,Partnership Expense,Audit & Tax Prepatory
Investor 2,tx036,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"2,500.00",1,"2,500.00",GBP,generalPartnership,Partnership Expense,Audit & Tax Prepatory
Investor 3,tx037,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"2,750.00",1,"2,750.00",GBP,generalPartnership,Partnership Expense,Audit & Tax Prepatory
Investor 1,tx038,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"1,000.00",1,"1,000.00",GBP,generalPartnership,Partnership Expense,Bank Fees
Investor 2,tx039,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"2,000.00",1,"2,000.00",GBP,generalPartnership,Partnership Expense,Bank Fees
Investor 3,tx040,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"1,000.00",1,"1,000.00",GBP,generalPartnership,Partnership Expense,Bank Fees
Investor 1,tx041,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"12,500.00",1,"12,500.00",GBP,generalPartnership,Partnership Expense,Custody Fees
Investor 2,tx042,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"10,000.00",1,"10,000.00",GBP,generalPartnership,Partnership Expense,Custody Fees
Investor 3,tx043,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"15,000.00",1,"15,000.00",GBP,generalPartnership,Partnership Expense,Custody Fees
Investor 1,tx044,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"20,000.00",1,"20,000.00",GBP,generalPartnership,Partnership Expense,Due Diligence
Investor 2,tx045,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"25,000.00",1,"25,000.00",GBP,generalPartnership,Partnership Expense,Due Diligence
Investor 3,tx046,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"19,000.00",1,"19,000.00",GBP,generalPartnership,Partnership Expense,Due Diligence
Investor 1,tx047,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"10,000.00",1,"10,000.00",GBP,generalPartnership,Partnership Expense,Legal
Investor 2,tx048,FundsOut,,2022-01-01T08:00:00Z,2022-01-03T08:00:00Z,"18,000.00",1,"18,000.00",GBP,generalPartnership,Partnership Expense,Legal
