txn_id,type,client_id,trade_date,settlement_date,quantity,price,total_consideration,currency,portfolio
tx257,Buy,AECI_LTD_5.5,2022-01-05T08:00:00Z,2022-01-05T08:00:00Z,"1,428,571",14,"19,999,994.00",GBP,privateEquityFund
tx258,Buy,Finbourne_SAFE,2022-01-05T08:00:00Z,2022-01-05T08:00:00Z,"100,000",100,"10,000,000.00",GBP,privateEquityFund
tx259,Buy,Morrisons,2022-01-05T08:00:00Z,2022-01-05T08:00:00Z,"3,484,000",2.87,"9,999,080.00",GBP,privateEquityFund
tx260,Buy,SYD241232,2022-01-05T08:00:00Z,2022-01-05T08:00:00Z,"199,400",100.3,"19,999,820.00",GBP,realEstateFund
tx261,Buy,LON343239,2022-01-05T08:00:00Z,2022-01-05T08:00:00Z,"197,823",101.1,"19,999,905.30",GBP,realEstateFund
tx262,Buy,Morrisons_4_05/01/2025_Private,2022-01-05T08:00:00Z,2022-01-05T08:00:00Z,"50,000",100,"5,000,000.00",GBP,privateDebtFund
tx263,Buy,HSBC_0.10_05/01/2023,2022-01-05T08:00:00Z,2022-01-05T08:00:00Z,"20,000",100,"2,000,000.00",GBP,privateDebtFund
tx264,Buy,BNP_0.08_05/07/2022,2022-01-05T08:00:00Z,2022-01-05T08:00:00Z,"20,000",100,"2,000,000.00",GBP,privateDebtFund
tx265,StockOut,Morrisons_4_05/01/2025_Private,2025-01-05T00:00:00Z,2025-01-08T00:00:00Z,"50,000",100,"5,000,000.00",GBP,privateDebtFund
tx266,StockOut,HSBC_0.10_05/01/2023,2023-01-05T00:00:00Z,2023-01-10T00:00:00Z,"20,000",100,"2,000,000.00",GBP,privateDebtFund
tx267,StockOut,BNP_0.08_05/07/2022,2022-07-05T01:00:00Z,2022-07-08T00:00:00Z,"20,000",100,"2,000,000.00",GBP,privateDebtFund
