client_id,date,quote,currency
AECI_LTD_5.5,10/01/2022,14.1,GBP
Finbourne_SAFE,10/01/2022,101,GBP
Morrisons,10/01/2022,2.87,GBP
SYD241232,10/01/2022,100.3,GBP
LON343239,10/01/2022,101.1,GBP
Morrisons_4_05/01/2025_Private,10/01/2022,99.8,GBP
HSBC_0.10_05/01/2023,10/01/2022,100,GBP
BNP_0.08_05/07/2022,10/01/2022,100,GBP
privateEquityFundSecuritised,10/01/2022,100,GBP
realEstateFundSecuritised,10/01/2022,100,GBP
privateDebtFundSecuritised,10/01/2022,100,GBP
AECI_LTD_5.5,14/06/2022,15,GBP
Finbourne_SAFE,14/06/2022,98,GBP
Morrisons,14/06/2022,2.93,GBP
SYD241232,14/06/2022,103,GBP
LON343239,14/06/2022,102,GBP
Morrisons_4_05/01/2025_Private,14/06/2022,97,GBP
HSBC_0.10_05/01/2023,14/06/2022,102,GBP
BNP_0.08_05/07/2022,14/06/2022,104,GBP
privateEquityFundSecuritised,14/06/2022,100,GBP
realEstateFundSecuritised,14/06/2022,101,GBP
privateDebtFundSecuritised,14/06/2022,101,GBP
