portfolio,date,mv,returns
uKEquity,31/12/2013,1000000,0
uKEquity,01/01/2014,993206.38,-0.00679362
uKEquity,02/01/2014,992628.4501,-0.000581883
uKEquity,03/01/2014,996394.9796,0.003794501
uKEquity,04/01/2014,1002500.97,0.006128082
uKEquity,05/01/2014,1013136.84,0.010609336
uKEquity,06/01/2014,1026973.9,0.013657642
uKEquity,07/01/2014,1034738.03,0.007560202
uKEquity,08/01/2014,1041105.559,0.00615376
uKEquity,09/01/2014,1042102.25,0.000957338
uKEquity,10/01/2014,1041454.82,-0.000621273
uKEquity,11/01/2014,1033673.24,-0.007471836
uKEquity,12/01/2014,1026655.69,-0.006788944
uKEquity,13/01/2014,1015913.291,-0.010463488
uKEquity,14/01/2014,1005883.06,-0.009873116
uKEquity,15/01/2014,999626.0801,-0.006220385
uKEquity,16/01/2014,996845.2602,-0.00278186
uKEquity,17/01/2014,993118.1303,-0.003738925
uKEquity,18/01/2014,988060.8904,-0.005092284
uKEquity,19/01/2014,985407.82,-0.002685128
uKEquity,20/01/2014,980478.9205,-0.005001888
uKEquity,21/01/2014,972378.9101,-0.008261279
uKEquity,22/01/2014,964212.87,-0.008398002
uKEquity,23/01/2014,961298.2396,-0.003022808
uKEquity,24/01/2014,955984.7803,-0.005527379
uKEquity,25/01/2014,951472.81,-0.004719709
uKEquity,26/01/2014,947125.1501,-0.0045694
uKEquity,27/01/2014,945568.2704,-0.001643795
uKEquity,28/01/2014,942384.2599,-0.003367298
uKEquity,29/01/2014,941905.6202,-0.000507903
uKEquity,30/01/2014,941770.0798,-0.0001439
uKEquity,31/01/2014,944930.4202,0.003355745
uKEquity,01/02/2014,947597.2102,0.002822208
uKEquity,02/02/2014,946898.8697,-0.000736959
uKEquity,03/02/2014,947571.9598,0.000710836
uKEquity,04/02/2014,943069.6495,-0.004751418
uKEquity,05/02/2014,936084.9301,-0.007406367
uKEquity,06/02/2014,929738.9201,-0.00677931
uKEquity,07/02/2014,923189.8502,-0.007043988
uKEquity,08/02/2014,916003.4799,-0.007784282
uKEquity,09/02/2014,909421.6002,-0.007185431
uKEquity,10/02/2014,907029.2401,-0.002630639
uKEquity,11/02/2014,904394.0198,-0.002905331
uKEquity,12/02/2014,902229.8702,-0.002392928
uKEquity,13/02/2014,901812.4597,-0.000462643
uKEquity,14/02/2014,906150.5197,0.004810379
uKEquity,15/02/2014,912262.71,0.006745226
uKEquity,16/02/2014,922209.7097,0.010903657
uKEquity,17/02/2014,931275.1403,0.009830118
uKEquity,18/02/2014,939364.1903,0.008685994
uKEquity,19/02/2014,947930.1102,0.009118849
uKEquity,20/02/2014,951173.16,0.003421191
uKEquity,21/02/2014,949890.27,-0.001348745
uKEquity,22/02/2014,951638.9097,0.001840886
uKEquity,23/02/2014,948799.5002,-0.002983705
uKEquity,24/02/2014,947313.9096,-0.001565758
uKEquity,25/02/2014,946306.3403,-0.001063607
uKEquity,26/02/2014,943485.9601,-0.002980409
uKEquity,27/02/2014,941653.1498,-0.001942594
uKEquity,28/02/2014,941374.9,-0.000295491
uKEquity,01/03/2014,940861.0402,-0.000545861
uKEquity,02/03/2014,944954.59,0.004350855
uKEquity,03/03/2014,954853.5402,0.010475583
uKEquity,04/03/2014,965856.0901,0.011522762
uKEquity,05/03/2014,980689.3997,0.015357681
uKEquity,06/03/2014,988622.53,0.00808934
uKEquity,07/03/2014,993636.3796,0.005071551
uKEquity,08/03/2014,998473.6801,0.00486828
uKEquity,09/03/2014,1002195.7,0.00372771
uKEquity,10/03/2014,1005416.66,0.003213903
uKEquity,11/03/2014,1012229.25,0.006775887
uKEquity,12/03/2014,1015350.42,0.003083462
uKEquity,13/03/2014,1013789.29,-0.001537528
uKEquity,14/03/2014,1015297.91,0.0014881
uKEquity,15/03/2014,1011617.2,-0.003625251
uKEquity,16/03/2014,1005257.06,-0.006287101
uKEquity,17/03/2014,1002280.35,-0.002961143
uKEquity,18/03/2014,998020.6304,-0.004250028
uKEquity,19/03/2014,993833.6101,-0.004195324
uKEquity,20/03/2014,992810.7704,-0.001029186
uKEquity,21/03/2014,996075.6401,0.003288512
uKEquity,22/03/2014,1000759.76,0.004702575
uKEquity,23/03/2014,1010580.3,0.009813084
uKEquity,24/03/2014,1015987.88,0.005350965
uKEquity,25/03/2014,1024935.03,0.008806355
uKEquity,26/03/2014,1033669.47,0.008521945
uKEquity,27/03/2014,1037319.8,0.003531429
uKEquity,28/03/2014,1035781.28,-0.001483168
uKEquity,29/03/2014,1038513.14,0.002637487
uKEquity,30/03/2014,1040604.93,0.002014216
uKEquity,31/03/2014,1041981.38,0.00132274
uKEquity,01/04/2014,1046777.8,0.004603172
uKEquity,02/04/2014,1058440.14,0.01114118
uKEquity,03/04/2014,1070633.42,0.011520047
uKEquity,04/04/2014,1082486.82,0.01107139
uKEquity,05/04/2014,1092156.27,0.008932626
uKEquity,06/04/2014,1102344.27,0.009328335
uKEquity,07/04/2014,1109012.479,0.006049117
uKEquity,08/04/2014,1107026.71,-0.001790575
uKEquity,09/04/2014,1099635.1,-0.006676993
uKEquity,10/04/2014,1096009.629,-0.003296976
uKEquity,11/04/2014,1092888.77,-0.002847475
uKEquity,12/04/2014,1087364.53,-0.005054714
uKEquity,13/04/2014,1082561.33,-0.004417286
uKEquity,14/04/2014,1081386.8,-0.001084955
uKEquity,15/04/2014,1079123.39,-0.002093062
uKEquity,16/04/2014,1073325.49,-0.005372787
uKEquity,17/04/2014,1066181.66,-0.006655791
uKEquity,18/04/2014,1058798.97,-0.00692442
uKEquity,19/04/2014,1051792.1,-0.006617753
uKEquity,20/04/2014,1046592.65,-0.00494342
uKEquity,21/04/2014,1040808.38,-0.005526763
uKEquity,22/04/2014,1036961.13,-0.003696406
uKEquity,23/04/2014,1036389.571,-0.000551187
uKEquity,24/04/2014,1038047.45,0.001599669
uKEquity,25/04/2014,1033616.601,-0.004268446
uKEquity,26/04/2014,1034674.66,0.001023648
uKEquity,27/04/2014,1040261.58,0.005399688
uKEquity,28/04/2014,1048493.09,0.007912923
uKEquity,29/04/2014,1054718.339,0.00593733
uKEquity,30/04/2014,1067339.79,0.011966655
uKEquity,01/05/2014,1081569.03,0.0133315
uKEquity,02/05/2014,1089039.76,0.006907308
uKEquity,03/05/2014,1096245.57,0.006616664
uKEquity,04/05/2014,1100306.34,0.003704252
uKEquity,05/05/2014,1103338.17,0.002755442
uKEquity,06/05/2014,1098839.659,-0.004077182
uKEquity,07/05/2014,1099560.68,0.000656165
uKEquity,08/05/2014,1097143.86,-0.002197987
uKEquity,09/05/2014,1097978,0.000760283
uKEquity,10/05/2014,1093430.05,-0.004142114
uKEquity,11/05/2014,1089732.23,-0.003381853
uKEquity,12/05/2014,1085271.51,-0.004093409
uKEquity,13/05/2014,1085980.09,0.000652906
uKEquity,14/05/2014,1083445.109,-0.002334279
uKEquity,15/05/2014,1085512.36,0.001908034
uKEquity,16/05/2014,1094285.37,0.008081907
uKEquity,17/05/2014,1101801.21,0.006868263
uKEquity,18/05/2014,1107840.85,0.005481606
uKEquity,19/05/2014,1111541.6,0.003340507
uKEquity,20/05/2014,1112793.62,0.001126382
uKEquity,21/05/2014,1107401.96,-0.004845157
uKEquity,22/05/2014,1101277.27,-0.005530684
uKEquity,23/05/2014,1088461.65,-0.011637051
uKEquity,24/05/2014,1076624.48,-0.010875137
uKEquity,25/05/2014,1064076.57,-0.011654862
uKEquity,26/05/2014,1057924.28,-0.005781811
uKEquity,27/05/2014,1052022.64,-0.005578509
uKEquity,28/05/2014,1053793.23,0.001683034
uKEquity,29/05/2014,1057992.14,0.003984567
uKEquity,30/05/2014,1064407.28,0.006063504
uKEquity,31/05/2014,1066557.99,0.002020571
uKEquity,01/06/2014,1068899.28,0.002195183
