portfolio,date,gbp_usd_fx
uKEquity,30/12/2019,1.31137
uKEquity,31/12/2019,1.31137
uKEquity,01/01/2020,1.326259947
uKEquity,02/01/2020,1.325029813
uKEquity,03/01/2020,1.315270284
uKEquity,04/01/2020,1.315270288
uKEquity,05/01/2020,1.315270288
uKEquity,06/01/2020,1.308010255
uKEquity,07/01/2020,1.317002502
uKEquity,08/01/2020,1.31137244
uKEquity,09/01/2020,1.310512935
uKEquity,10/01/2020,1.30701864
uKEquity,11/01/2020,1.30701869
uKEquity,12/01/2020,1.30701844
uKEquity,13/01/2020,1.304563364
uKEquity,14/01/2020,1.298819373
uKEquity,15/01/2020,1.302252844
uKEquity,16/01/2020,1.304121022
uKEquity,17/01/2020,1.307873344
uKEquity,18/01/2020,1.307873344
uKEquity,19/01/2020,1.307873394
uKEquity,20/01/2020,1.300728408
uKEquity,21/01/2020,1.30055944
uKEquity,22/01/2020,1.30480167
uKEquity,23/01/2020,1.314474999
uKEquity,24/01/2020,1.311991603
uKEquity,25/01/2020,1.311991644
uKEquity,26/01/2020,1.311991603
uKEquity,27/01/2020,1.30618216
uKEquity,28/01/2020,1.306011571
uKEquity,29/01/2020,1.302456433
uKEquity,30/01/2020,1.302202024
uKEquity,31/01/2020,1.308900524
