portfolio,date,mv,returns
uKEquity,01/01/2020,1000000,-0.009068694
uKEquity,02/01/2020,990931.306,0.006027906
uKEquity,03/01/2020,1012092.242,-0.003570123
uKEquity,06/01/2020,998857.1802,0.007899231
uKEquity,07/01/2020,1018336.028,0.002896434
uKEquity,08/01/2020,1016215.902,0.001851228
uKEquity,09/01/2020,1017036.287,-0.001880814
uKEquity,10/01/2020,1011342.269,-0.00346898
uKEquity,13/01/2020,1006230.256,0.004516744
uKEquity,14/01/2020,1018874.302,-0.008693263
uKEquity,15/01/2020,996735.1327,0.007721504
uKEquity,16/01/2020,1021063.737,-0.001304741
uKEquity,17/01/2020,1010597.709,0.00642833
uKEquity,20/01/2020,1024969.759,-0.008255042
uKEquity,21/01/2020,1001677.284,-0.004363234
uKEquity,22/01/2020,1001221.293,0.001260111
uKEquity,23/01/2020,1008144.776,0.000466171
uKEquity,24/01/2020,1007814.595,0.006680557
uKEquity,27/01/2020,1020849.586,0.005751577
uKEquity,28/01/2020,1025773.074,0.008294471
uKEquity,29/01/2020,1036896.76,-0.006205437
uKEquity,30/01/2020,1015643.136,-0.009776091
uKEquity,31/01/2020,1002100.655,0.007878395
