portfolio_code,portfolio_name,portfolio_base_currency,ticker,sedol,instrument_type,instrument_id,name,txn_id,txn_type,txn_trade_date,txn_settle_date,txn_units,txn_price,txn_consideration,currency,strategy,cash_transactions
EQUITY_UK,Equity retail multi-strategy,GBP,GB0008847096,SEDOL7,equity,EQ_1240,Tesco PLC,trd_001,Buy,01/01/2019,01/01/2019,1000000,8,8000000,GBP,quant_strategy,
EQUITY_UK,Equity retail multi-strategy,GBP,GB0008847096,SEDOL7,equity,EQ_1240,Tesco PLC,trd_002,Buy,01/01/2019,01/01/2019,1000000,8,8000000,GBP,fundamental_food_retail,
EQUITY_UK,Equity retail multi-strategy,GBP,GB0008847096,SEDOL7,equity,EQ_1240,Tesco PLC,trd_003,Sell,01/02/2019,01/02/2019,400000,10,4000000,GBP,quant_strategy,
EQUITY_UK,Equity retail multi-strategy,GBP,GB0008847096,SEDOL7,equity,EQ_1240,Tesco PLC,trd_004,Sell,01/03/2019,01/03/2019,400000,2,800000,GBP,fundamental_food_retail,
EQUITY_UK,Equity retail multi-strategy,GBP,GB0008847096,SEDOL7,equity,EQ_1240,Tesco PLC,trd_005,Buy,01/04/2019,01/04/2019,1000000,10,10000000,GBP,quant_strategy,
EQUITY_UK,Equity retail multi-strategy,GBP,GB0008847096,SEDOL7,equity,EQ_1240,Tesco PLC,trd_006,Buy,01/05/2019,01/05/2019,1000000,12,12000000,GBP,fundamental_food_retail,
EQUITY_UK,Equity retail multi-strategy,GBP,GB0008847096,SEDOL7,equity,EQ_1240,Tesco PLC,trd_007,Sell,01/06/2019,01/06/2019,300000,11,3300000,GBP,quant_strategy,
EQUITY_UK,Equity retail multi-strategy,GBP,GB0008847096,SEDOL7,equity,EQ_1240,Tesco PLC,trd_008,Sell,01/07/2019,01/07/2019,300000,7,2100000,GBP,fundamental_food_retail,
EQUITY_UK,Equity retail multi-strategy,GBP,GBP,GBP,cash,GBP,GBP Cash,cash_001,FundsIn,01/01/2019,01/01/2019,20000000,1,20000000,GBP,quant_strategy,GBP
EQUITY_UK,Equity retail multi-strategy,GBP,GBP,GBP,cash,GBP,GBP Cash,cash_002,FundsIn,01/01/2019,01/01/2019,20000000,1,20000000,GBP,fundamental_food_retail,GBP
