identifierScheme,identifier,BC,status,FISNLanguage,FISNSIX,FISN,CFISIX,CFI,swissValorNumber,ISIN,SIXCurrencyCodeAlphabetical,austrianNumber,canadianCUSIP,germanWPKN,danishNumber,frenchRGACode,frenchEuroclearNumberSICOVAM,UKSEDOLNumber,hongKongIssueNumber,italianNumber,japaneseNumberTSECode,japaneseNumberSICC,southKoreanNumber,luxembourgNumber,dutchNumber,norwegianNumber,portugueseNumber,swedishNumber,CUSIPInternationalNumber,USCUSIP,commonCode,belgianNumber,FIGIGlobalShareClassId,FIGIGlobalId,alternativeInstrumentIdentifier,clearingCode,tradingSymbol,listingSymbol,FIGIGlobalCompositeId,SIXSymbol,multipleSEDOL,tradingSegment,productGroup,SIXMarketCodeNumerical,SIXMarketCodeAlphabetical,MICOfSIXMarketCode
CH,22627015,65,Delivered,5,Allegion/RegSh USD0.01,,ESVUFR,,22627015,IE00BFRT3W74,,,,A1W869,,,,,,,,,,,,,,,,,100207249,626068716,BBG003PS7JW0,BBG004T9FH88,,,ALLE,ALLE,BBG003PS7JV1,,,,,65,NYX,XNYS
CH,20100637,65,Delivered,5,Eaton Corp/RegSh USD0,,ESVUFR,,20100637,IE00B8KQN827,,,,A1J88N,,,,,,,,,,,,,,,,,86353296,632625815,BBG001S5QZ45,BBG000BJ3QG7,,,ETN,ETN,BBG000BJ3PD2,,,,,65,NYX,XNYS
CH,52755147,65,Delivered,5,Trane Tech/RegSh USD1,,ESVUFR,,52755147,IE00BK9ZQ967,,,,A2P09K,,,,,,,,,,,,,,,,,213271873,631952572,BBG001S5SBV6,BBG000BM6966,,,TT,TT,BBG000BM6788,,,,,65,NYX,XNYS
CH,24275396,65,Delivered,5,Pentair/RegSh USD0.01,,ESVUFR,,24275396,IE00BLS09M33,,,,A115FG,,,,,,,,,,,,,,,,,107586334,626730235,BBG001S69VB3,BBG000C223L9,,,PNR,PNR,BBG000C221G9,,,,,65,NYX,XNYS
CH,10299318,65,Delivered,4,TE Connectiv/RegSh CHF0.57,,,,10299318,CH0102993182,,,,A0RP04,,,,,,,,,,,,,,,,,43813854,515399695,BBG001STLRP3,BBG000RGM768,,,TEL,TEL,BBG000RGM5P1,,,,,65,NYX,XNYS
CH,10478724,65,Delivered,5,Accenture/RegSh Cl-A USD0.0000225,,ESVUFR,,10478724,IE00B4BNMY34,,,,A0YAQA,,,,,,,,,,,,,,,,,45008479,515894597,BBG001SCXK90,BBG000D9DC22,,,ACN,ACN,BBG000D9D830,,,,,65,NYX,XNYS
CH,31349330,65,Delivered,5,Johnson Ctr Int/RegSh USD0.01,,ESVUFR,,31349330,IE00BY7QL619,,,,A2AQCA,,,,,,,,,,,,,,,,,147774451,628937690,BBG001S5WZ84,BBG000BVWMZ6,,,JCI,JCI,BBG000BVWLJ6,,,,,65,NYX,XNYS
CH,47806139,65,Delivered,5,Amcor/RegSh USD0.01,,ESVUFR,,47806139,JE00BJ1F3079,,,,A2PKFL,,,,,,,,,,,,,,,,,199879723,631405231,BBG00LNJRQ18,BBG00LNJRTX7,,,AMCR,AMCR,BBG00LNJRQ09,,,,,65,NYX,XNYS
CH,13108235,65,Delivered,5,Aptiv/RegSh USD0.01,,ESVUFR,,13108235,JE00B783TY65,,,,A1JPLB,,,,,,,,,,,,,,,,,71313689,629147050,BBG001TRL2T7,BBG001QD41R4,,,APTV,APTV,BBG001QD41M9,,,,,65,NYX,XNYS
CH,47027903,65,Delivered,5,STERIS/RegSh USD0.001,,ESVUFR,,47027903,IE00BFY8C754,,,,A2PGLV,,,,,,,,,,,,,,,,,197565438,631295194,BBG00MRHG532,,,,STE,STE,,,,,,65,NYX,XNYS
