figi,name,Industry,Supersector,Sector,ticker,ExchangeCode,compositeFIGI,uniqueID,securityType,marketSector,shareClassFIGI,securityType2,securityDescription
BBG000BFZMY9,SCOTTISH MORTGAGE INV TR PLC,Financials,Financial Services,Equity Investment Instruments,SMT,LN,BBG000BFZM24,EQ0014849700060000,Closed-End Fund,Equity,BBG001S63BC2,Mutual Fund,SMT
BBG000VH0TC0,FRESNILLO PLC,Basic Materials,Basic Resources,Mining,FRES,LN,BBG000VH0T67,EQ0000000006054873,Common Stock,Equity,BBG001STFFC0,Common Stock,FRES
BBG00KW3SK62,AVAST PLC,Technology,Technology,Software and Computer Services,AVST,LN,BBG00KVYMH59,EQ0000000064877181,Common Stock,Equity,BBG00KVYMH68,Common Stock,AVST
BBG0025RP8F9,POLYMETAL INTERNATIONAL PLC,Basic Materials,Basic Resources,Mining,POLY,LN,BBG0025RP8D1,EQ0000000020518786,Common Stock,Equity,BBG0025RP8J5,Common Stock,POLY
BBG000C21Y87,AVEVA GROUP PLC,Technology,Technology,Software & Computer Services,AVV,LN,BBG000C21XN2,EQ0020247500001000,Common Stock,Equity,BBG001SC9C86,Common Stock,AVV
BBG00K9ZPS45,M&G PLC,Financial Services,Financial Services,Asset Managers,MNG,LN,BBG00K9ZPS36,EQ0000000063431320,Common Stock,Equity,BBG00K9ZPS72,Common Stock,MNG
BBG000BD6DG6,BARRATT DEVELOPMENTS PLC,Consumer Goods,Personal & Household Goods,Household Goods & Home Construction,BDEV,LN,BBG000BD6CZ7,EQ0011116700001000,Common Stock,Equity,BBG001S617B4,Common Stock,BDEV
BBG00RM7J0M5,JUST EAT TAKEAWAY,Technology,Technology,Software and Computer Services,JET,LN,BBG00RM7J0L6,EQ0000000081808574,Common Stock,Equity,BBG002D9P5L9,Common Stock,JET
BBG000BDY8C0,PEARSON PLC,Consumer Services,Media,Media,PSON,LN,BBG000BDY849,EQ0011206700001000,Common Stock,Equity,BBG001S630G2,Common Stock,PSON
BBG000BD42C6,ASHTEAD GROUP PLC,Industrials,Industrial Goods & Services,Support Services,AHT,LN,BBG000BD41Z3,EQ0011112400001000,Common Stock,Equity,BBG001S610V7,Common Stock,AHT
BBG000BD3SC0,ASSOCIATED BRITISH FOODS PLC,Consumer Goods,Food & Beverage,Food Producers,ABF,LN,BBG000BD3RV1,EQ0011112900001000,Common Stock,Equity,BBG001S60Z87,Common Stock,ABF
BBG000D8KQJ7,INTERMEDIATE CAPITAL GROUP,Financials,Financial Services,Financial Services,ICP,LN,BBG000D8KQ89,EQ0014825500001000,Common Stock,Equity,BBG001S865S1,Common Stock,ICP
BBG000BZZ876,3I GROUP PLC,Financials,Financial Services,Financial Services,III,LN,BBG000BZZ7W0,EQ0015422800001000,Common Stock,Equity,BBG001S7L828,Common Stock,III
BBG000BZT2X7,PENNON GROUP PLC,Utilities,Utilities,"Gas, Water & Multi-utilities",PNN,LN,BBG000BZT267,EQ0011229800001000,Common Stock,Equity,BBG001SBYZG0,Common Stock,PNN
