Ticker,Name,Sector,ISIN,CUSIP,Figi
ATVI US,Activision Blizzard,Communication Services,US00507V1098,00507V109,BBG000C2CV72
ADBE US,Adobe Inc.,Information Technology,US00724F1012,00724F101,BBG000BB5006
AMD US,Advanced Micro Devices,Information Technology,US0079031078,7903107,BBG000BBQCY0
ALXN US,Alexion Pharmaceuticals,Health Care,US0153511094,15351109,BBG00GQGHKP0
ALGN US,Align Technology,Health Care,US0162551016,16255101,BBG000BK4178
GOOGL US,Alphabet Inc. (Class A),Communication Services,US02079K3059,02079K305,BBG009S39JX6
GOOG US,Alphabet Inc. (Class C),Communication Services,US02079K1079,02079K107,BBG009S3NB30
AMZN US,Amazon.com,Consumer Discretionary,US0231351067,23135106,BBG000BB0NB9
AEP US,American Electric Power,Utilities,US0255371017,25537101,BBG000BB9KF2
AMGN US,Amgen,Health Care,US0311621009,31162100,BBG000BBS2Y0
ADI US,Analog Devices,Information Technology,US0326541051,32654105,BBG000BB6G37
ANSS US,Ansys,Information Technology,US03662Q1058,03662Q105,BBG000GXZ4W7
AAPL US,Apple Inc.,Information Technology,US0378331005,37833100,BBG000B9XRY4
AMAT US,"Applied Materials, Inc.",Information Technology,US0382221051,38222105,BBG000BBPFB9
ASML US,ASML Holding,Information Technology,USN070592100,,BBG000K6MRN4
TEAM US,Atlassian,Information Technology,GB00BZ09BD16,,BBG00BDQ1H13
ADSK US,Autodesk,Information Technology,US0527691069,52769106,BBG000BM7HL0
ADP US,"Automatic Data Processing, Inc.",Information Technology,US0530151036,53015103,BBG000GZ3B88
BIDU US,Baidu,Communication Services,US0567521085,56752108,BBG000QP9W96
BIIB US,Biogen,Health Care,US09062X1037,09062X103,BBG000C17X76
BKNG US,Booking Holdings,Consumer Discretionary,US09857L1089,09857L108,BBG000BLBVN4
AVGO US,Broadcom Inc.,Information Technology,US11135F1012,11135F101,BBG00KHY5S69
CDNS US,Cadence Design Systems,Information Technology,US1273871087,127387108,BBG000C13CD9
CDW US,CDW,Information Technology,US12514G1085,12514G108,BBG001P63B80
CERN US,Cerner Corporation,Health Care,US1567821046,156782104,BBG000BFDLV8
CHTR US,"Charter Communications, Inc.",Communication Services,US16119P1084,16119P108,BBG000VPGNR2
CHKP US,Check Point Software Technologies Ltd.,Information Technology,IL0010824113,,BBG000JK63Y4
CTAS US,Cintas Corporation,Industrials,US1729081059,172908105,BBG000D2RM57
CSCO US,Cisco Systems,Information Technology,US17275R1023,17275R102,BBG000C3J3C9
CTSH US,Cognizant Technology Solutions Corporation,Information Technology,US1924461023,192446102,BBG000BBDV81
CMCSA US,Comcast Corporation,Communication Services,US20030N1019,20030N101,BBG000BFT2L4
CPRT US,Copart,Industrials,US2172041061,217204106,BBG000BM9RH1
COST US,Costco Wholesale Corporation,Consumer Staples,US22160K1051,22160K105,BBG000F6H8W8
CSX US,CSX Corporation,Industrials,US1264081035,126408103,BBG000BGJRC8
DXCM US,DexCom,Health Care,US2521311074,252131107,BBG000NWTZR5
DOCU US,DocuSign,Information Technology,US2561631068,256163106,BBG000N7KJX8
DLTR US,"Dollar Tree, Inc.",Consumer Discretionary,US2567461080,256746108,BBG000BSC0K9
EBAY US,eBay Inc.,Consumer Discretionary,US2786421030,278642103,BBG000BPJ466
EA US,Electronic Arts,Communication Services,US2855121099,285512109,BBG000BP0KQ8
EXC US,Exelon Corporation,Utilities,US30161N1019,30161N101,BBG000FMWLM8
FB US,"Facebook, Inc.",Communication Services,US30303M1027,30303M102,BBG000MM2P62
FAST US,Fastenal Company,Industrials,US3119001044,311900104,BBG000BJ8YN7
FISV US,"Fiserv, Inc.",Information Technology,US3377381088,337738108,BBG000BJKPG0
FOXA US,Fox Corporation (Class A),Communication Services,US35137L1052,35137L105,BBG00JHNJW99
FOX US,Fox Corporation (Class B),Communication Services,US35137L2043,35137L204,BBG00JHNKJY8
GILD US,"Gilead Sciences, Inc.",Health Care,US3755581036,375558103,BBG000CKGBP2
IDXX US,Idexx Laboratories,Health Care,US45168D1046,45168D104,BBG000BLRT07
