Asset,Class,Figi,Quantity,Price,Currency
BP,Equity,BBG000C05BD1,500,101,GBP
Burford,Equity,BBG000PN88Q7,490,111,GBP
Croda,Equity,BBG000BDCLS8,480,116,GBP
EKF,Equity,BBG000BVNBN3,470,121,GBP
Halma,Equity,BBG000BDLT47,460,126,GBP
Glencore,Equity,BBG001MM1KV4,450,131,GBP
JustEat,Equity,BBG0065YWM39,440,141,GBP
Kingfisher,Equity,BBG000BKH1W6,430,151,GBP
MicroFocus,Equity,BBG000G4KKD2,420,161,GBP
NEXT,Equity,BBG000BDWPY0,410,165,GBP
RELXGroup,Equity,BBG000D03XD4,400,171,GBP
Sage,Equity,BBG000BN0PP3,390,181,GBP
TaylorWimpey,Equity,BBG000BF4KL1,380,186,GBP
TESCO,Equity,BBG000BF46Y8,370,191,GBP
UK_2.0_2025,Bond,BBG0088JSC32,100000,101,GBP
UK_3.5_2045,Bond,BBG006N6HZM7,80000,102,GBP
UK_4.5_2034,Bond,BBG0000D14P3,50000,99,GBP
Unilever,Equity,BBG000C0M8X7,360,201,GBP
WPP,Equity,BBG000BF6B57,350,211,GBP
Whitbread,Equity,BBG000BRVH05,340,221,GBP
