Asset,Isin,Date,Price,Currency
UKT 0 ⅜ 10/22/26,GB00BNNGP668,03/07/2022,101.20,GBP
T 2.375% Aug 15 2024,US912828D564,03/07/2022,103.00,USD
UKT 0 ⅜ 10/22/26,GB00BNNGP668,03/08/2022,97.65,GBP
T 2.375% Aug 15 2024,US912828D564,03/08/2022,105.10,USD
UKT 0 ⅜ 10/22/26,GB00BNNGP668,03/09/2022,99.40,GBP
T 2.375% Aug 15 2024,US912828D564,03/09/2022,109.00,USD
UKT 0 ⅜ 10/22/26,GB00BNNGP668,03/10/2022,103.70,GBP
T 2.375% Aug 15 2024,US912828D564,03/10/2022,106.00,USD
UKT 0 ⅜ 10/22/26,GB00BNNGP668,03/11/2022,101.44,GBP
T 2.375% Aug 15 2024,US912828D564,03/11/2022,103.00,USD
